E216  (10.4%)
       32.       30.

  0.004610  0.010580
  0.013110  0.019810
  0.025760  0.029510
  0.042540  0.039300
  0.063330  0.048910
  0.088030  0.058090
  0.116440  0.066650
  0.148360  0.074390
  0.183540  0.081190
  0.221690  0.086900
  0.262490  0.091440
  0.305600  0.094750
  0.350640  0.096780
  0.397220  0.097540
  0.444900  0.097040
  0.493230  0.095320
  0.541770  0.092430
  0.590040  0.088470
  0.637570  0.083530
  0.683900  0.077730
  0.728550  0.071200
  0.771070  0.064070
  0.811040  0.056510
  0.848050  0.048680
  0.881700  0.040790
  0.911620  0.033000
  0.937430  0.025520
  0.958770  0.018400
  0.975640  0.011570
  0.988420  0.005520
  0.996920  0.001410
  1.000000  0.000000

  0.004610  0.010580
  0.000310  0.002380
  0.001080 -0.003850
  0.007690 -0.008660
  0.019790 -0.012910
  0.037030 -0.016300
  0.059240 -0.018690
  0.086280 -0.019990
  0.117950 -0.020200
  0.154010 -0.019320
  0.194200 -0.017420
  0.238170 -0.014600
  0.285540 -0.010980
  0.335880 -0.006750
  0.388680 -0.002100
  0.443410  0.002760
  0.499450  0.007570
  0.556140  0.012110
  0.612790  0.016110
  0.668620  0.019370
  0.722870  0.021670
  0.774710  0.022840
  0.823310  0.022770
  0.867820  0.021370
  0.907370  0.018630
  0.941050  0.014560
  0.967630  0.009450
  0.986080  0.004490
  0.996610  0.001130
  1.000000  0.000000
