NACA 63A210
       26.       26.

  0.000000  0.000000
  0.004230  0.008680
  0.006640  0.010580
  0.011510  0.013670
  0.023840  0.019440
  0.048690  0.027690
  0.073640  0.034000
  0.098630  0.039170
  0.148690  0.047290
  0.198820  0.053280
  0.248980  0.057640
  0.299160  0.060600
  0.349350  0.062190
  0.399550  0.062470
  0.449750  0.061510
  0.499940  0.059430
  0.550120  0.056370
  0.600280  0.052450
  0.650410  0.047720
  0.700520  0.042270
  0.750610  0.036240
  0.800740  0.029740
  0.850720  0.022540
  0.900500  0.015190
  0.950260  0.007690
  1.000000  0.000210

  0.000000  0.000000
  0.005770 -0.007560
  0.008360 -0.009000
  0.013490 -0.011250
  0.026160 -0.015220
  0.051310 -0.020470
  0.076360 -0.024280
  0.101370 -0.027250
  0.151310 -0.031670
  0.201180 -0.034680
  0.251020 -0.036620
  0.300840 -0.037640
  0.350650 -0.037710
  0.400450 -0.036890
  0.450250 -0.035230
  0.500060 -0.032830
  0.549880 -0.029850
  0.599720 -0.026410
  0.649590 -0.022620
  0.699480 -0.018610
  0.749390 -0.014640
  0.799260 -0.011040
  0.849280 -0.008120
  0.899500 -0.005390
  0.949740 -0.002790
  1.000000 -0.000210
