SD6080 (9.2%)
       31.       31.

  0.005090  0.010040
  0.013910  0.018440
  0.026840  0.027200
  0.043870  0.035950
  0.064900  0.044420
  0.089840  0.052380
  0.118510  0.059650
  0.150710  0.066090
  0.186160  0.071600
  0.224530  0.076070
  0.265470  0.079410
  0.308590  0.081540
  0.353510  0.082340
  0.399860  0.081760
  0.447300  0.079800
  0.495460  0.076460
  0.543990  0.071850
  0.592570  0.066130
  0.640770  0.059600
  0.688070  0.052500
  0.733960  0.045080
  0.777930  0.037580
  0.819450  0.030250
  0.857990  0.023320
  0.893010  0.017040
  0.923960  0.011600
  0.950320  0.007170
  0.971550  0.003830
  0.987160  0.001590
  0.996760  0.000370
  1.000000  0.000000

  0.005090  0.010040
  0.000450  0.002600
  0.000820 -0.002960
  0.006920 -0.007100
  0.018600 -0.010600
  0.035650 -0.013220
  0.057960 -0.014940
  0.085390 -0.015810
  0.117710 -0.015920
  0.154620 -0.015390
  0.195730 -0.014330
  0.240590 -0.012850
  0.288700 -0.011090
  0.339480 -0.009160
  0.392330 -0.007170
  0.446620 -0.005190
  0.501680 -0.003340
  0.556820 -0.001660
  0.611360 -0.000200
  0.664630  0.000990
  0.715960  0.001890
  0.764700  0.002500
  0.810240  0.002820
  0.852000  0.002870
  0.889440  0.002670
  0.922070  0.002280
  0.949440  0.001750
  0.971210  0.001180
  0.987070  0.000630
  0.996750  0.000180
  1.000010  0.000000
