AH-6-40-7 AIRFOIL
       16.       16.

  0.000000  0.000000
  0.012420  0.018060
  0.024880  0.027110
  0.049820  0.040220
  0.074770  0.050340
  0.099740  0.058450
  0.149680  0.070670
  0.199650  0.077900
  0.299620  0.084350
  0.399620  0.084800
  0.499630  0.081250
  0.599670  0.073700
  0.699720  0.062150
  0.799790  0.046600
  0.899880  0.027050
  1.000000  0.003500

  0.000000  0.000000
  0.012530 -0.006940
  0.025040 -0.007890
  0.050030 -0.006770
  0.075020 -0.005160
  0.100010 -0.002550
  0.149990  0.003170
  0.199960  0.009400
  0.299910  0.019350
  0.399880  0.025800
  0.499870  0.028250
  0.599870  0.028700
  0.699890  0.025150
  0.799920  0.018600
  0.899960  0.009050
  1.000000 -0.003500
