E176  (8.83%)
       31.       31.

  0.003910  0.007370
  0.012100  0.014800
  0.024570  0.022680
  0.041290  0.030650
  0.062160  0.038480
  0.087030  0.045980
  0.115680  0.052980
  0.147850  0.059320
  0.183240  0.064880
  0.221480  0.069540
  0.262200  0.073160
  0.304960  0.075600
  0.349340  0.076620
  0.395160  0.076040
  0.442180  0.073880
  0.490130  0.070210
  0.538710  0.065220
  0.587630  0.059110
  0.636520  0.052320
  0.684750  0.045280
  0.731650  0.038230
  0.776590  0.031410
  0.818920  0.024990
  0.858060  0.019140
  0.893420  0.013970
  0.924470  0.009560
  0.950730  0.005950
  0.971790  0.003200
  0.987270  0.001320
  0.996780  0.000310
  1.000000  0.000000

  0.003910  0.007370
  0.000100  0.001050
  0.001790 -0.003840
  0.009340 -0.007820
  0.022200 -0.011130
  0.040330 -0.013670
  0.063610 -0.015400
  0.091900 -0.016370
  0.124940 -0.016660
  0.162430 -0.016350
  0.203960 -0.015560
  0.249100 -0.014380
  0.297310 -0.012920
  0.348050 -0.011270
  0.400720 -0.009540
  0.454700 -0.007790
  0.509310 -0.006120
  0.563910 -0.004550
  0.617820 -0.003150
  0.670390 -0.001940
  0.720970 -0.000950
  0.768940 -0.000190
  0.813710  0.000350
  0.854720  0.000670
  0.891450  0.000800
  0.923430  0.000770
  0.950240  0.000650
  0.971570  0.000500
  0.987180  0.000320
  0.996760  0.000110
  1.000000  0.000000
