NACA 64A210
       26.       26.

  0.000000  0.000000
  0.004240  0.008560
  0.006650  0.010440
  0.011530  0.013420
  0.023870  0.018950
  0.048740  0.026850
  0.073690  0.032880
  0.098680  0.037920
  0.148740  0.045920
  0.198850  0.052000
  0.249000  0.056560
  0.299170  0.059840
  0.349350  0.061920
  0.399550  0.062740
  0.449750  0.062080
  0.499940  0.060140
  0.550120  0.057140
  0.600280  0.053230
  0.650420  0.048520
  0.700540  0.043100
  0.750630  0.037020
  0.800760  0.030370
  0.850740  0.023010
  0.900520  0.015510
  0.950270  0.007850
  1.000000  0.000210

  0.000000  0.000000
  0.005760 -0.007440
  0.008350 -0.008860
  0.013470 -0.011000
  0.026130 -0.014730
  0.051260 -0.019630
  0.076310 -0.023160
  0.101320 -0.026000
  0.151260 -0.030300
  0.201150 -0.033400
  0.251000 -0.035540
  0.300830 -0.036880
  0.350650 -0.037440
  0.400450 -0.037160
  0.450250 -0.035800
  0.500060 -0.033540
  0.549880 -0.030620
  0.599720 -0.027190
  0.649580 -0.023420
  0.699460 -0.019440
  0.749370 -0.015420
  0.799240 -0.011670
  0.849260 -0.008590
  0.899480 -0.005710
  0.949740 -0.002950
  1.000000 -0.000210
