AH 88-K-130/20
       49.       49.

  0.000000  0.000000
  0.001070  0.004450
  0.004280  0.008890
  0.009610  0.014000
  0.017040  0.019860
  0.026530  0.025550
  0.038060  0.031900
  0.051560  0.038150
  0.066990  0.044580
  0.084270  0.050860
  0.103320  0.057120
  0.124080  0.063150
  0.146450  0.069050
  0.170330  0.074580
  0.195620  0.079820
  0.222210  0.084670
  0.250000  0.089110
  0.278860  0.093040
  0.308660  0.096480
  0.339280  0.099350
  0.370590  0.101600
  0.402450  0.103210
  0.434740  0.104100
  0.467300  0.104290
  0.500000  0.103450
  0.532700  0.101710
  0.565260  0.099210
  0.597550  0.096000
  0.629410  0.092040
  0.660720  0.087420
  0.691340  0.081910
  0.721140  0.075310
  0.750000  0.067610
  0.777790  0.059830
  0.804380  0.052290
  0.829670  0.045240
  0.853550  0.038650
  0.875920  0.032630
  0.896680  0.027200
  0.915730  0.022160
  0.933010  0.017770
  0.948440  0.013900
  0.961940  0.010540
  0.973470  0.007660
  0.982960  0.005230
  0.990390  0.003240
  0.995720  0.001660
  0.998930  0.000500
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.002520
  0.004280 -0.005030
  0.009610 -0.007470
  0.017040 -0.009510
  0.026530 -0.011380
  0.038060 -0.013390
  0.051560 -0.014940
  0.066990 -0.016610
  0.084270 -0.018030
  0.103320 -0.019390
  0.124080 -0.020580
  0.146450 -0.021740
  0.170330 -0.022710
  0.195620 -0.023590
  0.222210 -0.024360
  0.250000 -0.025000
  0.278860 -0.025480
  0.308660 -0.025880
  0.339280 -0.026120
  0.370590 -0.026190
  0.402450 -0.026140
  0.434740 -0.025900
  0.467300 -0.025490
  0.500000 -0.024840
  0.532700 -0.023930
  0.565260 -0.022640
  0.597550 -0.021200
  0.629410 -0.019560
  0.660720 -0.017820
  0.691340 -0.015840
  0.721140 -0.013740
  0.750000 -0.011180
  0.777790 -0.007930
  0.804380 -0.004520
  0.829670 -0.001620
  0.853550  0.000730
  0.875920  0.002460
  0.896680  0.003900
  0.915730  0.004290
  0.933010  0.004500
  0.948440  0.004350
  0.961940  0.003890
  0.973470  0.003230
  0.982960  0.002450
  0.990390  0.001650
  0.995720  0.000950
  0.998930  0.000320
  1.000000  0.000000
