S8037 (16%)
       41.       41.

  0.002770  0.010900
  0.007610  0.019290
  0.014700  0.027870
  0.024180  0.036440
  0.036050  0.044970
  0.050200  0.053270
  0.066620  0.061210
  0.085220  0.068750
  0.105940  0.075740
  0.128730  0.082140
  0.153440  0.087900
  0.179970  0.092950
  0.208200  0.097260
  0.237950  0.100790
  0.269070  0.103490
  0.301380  0.105330
  0.334730  0.106230
  0.368970  0.106180
  0.403890  0.105150
  0.439410  0.103090
  0.475440  0.100070
  0.511750  0.096070
  0.548280  0.091160
  0.584880  0.085500
  0.621400  0.079110
  0.657760  0.072160
  0.693780  0.064960
  0.729130  0.057720
  0.763520  0.050590
  0.796620  0.043700
  0.828130  0.037160
  0.857760  0.031050
  0.885200  0.025430
  0.910190  0.020340
  0.932440  0.015800
  0.951710  0.011780
  0.967820  0.008140
  0.980840  0.004780
  0.990890  0.002050
  0.997580  0.000430
  1.000000  0.000000

  0.002770  0.010900
  0.000230  0.003100
  0.000260 -0.003410
  0.003810 -0.008930
  0.011130 -0.014250
  0.021580 -0.019410
  0.034940 -0.024340
  0.051160 -0.028930
  0.070180 -0.033190
  0.091820 -0.037110
  0.115960 -0.040640
  0.142450 -0.043810
  0.171090 -0.046590
  0.201690 -0.048970
  0.234030 -0.050910
  0.267940 -0.052370
  0.303200 -0.053340
  0.339590 -0.053780
  0.376930 -0.053660
  0.415010 -0.053010
  0.453620 -0.051770
  0.492620 -0.049970
  0.531730 -0.047650
  0.570840 -0.044800
  0.609850 -0.041550
  0.648460 -0.038090
  0.686400 -0.034500
  0.723390 -0.030890
  0.759140 -0.027330
  0.793360 -0.023900
  0.825770 -0.020640
  0.856090 -0.017590
  0.884050 -0.014780
  0.909390 -0.012220
  0.931880 -0.009870
  0.951290 -0.007690
  0.967470 -0.005520
  0.980590 -0.003270
  0.990760 -0.001340
  0.997550 -0.000230
  1.000000  0.000000
