E226  (10.19%)
       30.       32.

  0.005530  0.009150
  0.015210  0.016440
  0.029390  0.023760
  0.047970  0.030830
  0.070840  0.037430
  0.097850  0.043390
  0.128770  0.048580
  0.163350  0.052890
  0.201320  0.056250
  0.242340  0.058590
  0.286050  0.059890
  0.332070  0.060160
  0.379970  0.059420
  0.429310  0.057720
  0.479610  0.055140
  0.530370  0.051760
  0.581100  0.047700
  0.631280  0.043100
  0.680370  0.038090
  0.727850  0.032850
  0.773190  0.027530
  0.815850  0.022310
  0.855290  0.017360
  0.891010  0.012830
  0.922480  0.008880
  0.949200  0.005600
  0.970720  0.003020
  0.986670  0.001220
  0.996610  0.000270
  1.000000  0.000000

  0.005530  0.009150
  0.000440  0.002420
  0.001050 -0.003500
  0.007560 -0.009350
  0.019030 -0.015390
  0.035250 -0.021180
  0.056080 -0.026480
  0.081380 -0.031140
  0.110960 -0.035040
  0.144590 -0.038100
  0.181990 -0.040290
  0.222850 -0.041600
  0.266790 -0.042050
  0.313410 -0.041670
  0.362250 -0.040550
  0.412810 -0.038760
  0.464570 -0.036390
  0.516970 -0.033550
  0.569430 -0.030340
  0.621380 -0.026880
  0.672230 -0.023270
  0.721370 -0.019630
  0.768240 -0.016070
  0.812240 -0.012700
  0.852830 -0.009630
  0.889450 -0.006920
  0.921590 -0.004670
  0.948730 -0.002860
  0.970490 -0.001460
  0.986590 -0.000510
  0.996590 -0.000090
  1.000000  0.000000
