E184  (8.33%)
       30.       32.

  0.003970  0.006200
  0.012620  0.012290
  0.025800  0.018580
  0.043460  0.024720
  0.065520  0.030540
  0.091780  0.035910
  0.122040  0.040720
  0.155980  0.044900
  0.193280  0.048340
  0.233540  0.051010
  0.276340  0.052790
  0.321200  0.053620
  0.367630  0.053280
  0.415390  0.051580
  0.464240  0.048570
  0.513880  0.044330
  0.564000  0.039080
  0.614250  0.033060
  0.664280  0.026720
  0.713380  0.020550
  0.760810  0.014840
  0.805870  0.009810
  0.847810  0.005630
  0.885970  0.002420
  0.919690  0.000270
  0.948230 -0.000750
  0.970840 -0.000860
  0.987050 -0.000520
  0.996760 -0.000150
  1.000000  0.000000

  0.003970  0.006200
  0.000100  0.000910
  0.001890 -0.003820
  0.009380 -0.008540
  0.021880 -0.013020
  0.039350 -0.017070
  0.061660 -0.020580
  0.088690 -0.023500
  0.120200 -0.025840
  0.155900 -0.027600
  0.195440 -0.028820
  0.238410 -0.029520
  0.284370 -0.029760
  0.332800 -0.029580
  0.383170 -0.029020
  0.434920 -0.028140
  0.487470 -0.026980
  0.540200 -0.025570
  0.592530 -0.023960
  0.643870 -0.022170
  0.693620 -0.020250
  0.741220 -0.018230
  0.786120 -0.016130
  0.827820 -0.014000
  0.865840 -0.011850
  0.899730 -0.009720
  0.929110 -0.007630
  0.953620 -0.005550
  0.973130 -0.003430
  0.987650 -0.001540
  0.996830 -0.000360
  1.000000  0.000000
