E71  (5.15%)
       32.       30.

  0.003090  0.005520
  0.010290  0.011710
  0.021770  0.018340
  0.037550  0.025110
  0.057570  0.031780
  0.081720  0.038190
  0.109850  0.044190
  0.141740  0.049680
  0.177120  0.054550
  0.215680  0.058760
  0.257040  0.062240
  0.300810  0.064940
  0.346570  0.066840
  0.393860  0.067900
  0.442210  0.068120
  0.491120  0.067500
  0.540110  0.066030
  0.588700  0.063700
  0.636450  0.060560
  0.682920  0.056670
  0.727680  0.052130
  0.770290  0.047060
  0.810350  0.041600
  0.847420  0.035920
  0.881100  0.030130
  0.911000  0.024380
  0.936760  0.018720
  0.958250  0.013120
  0.975600  0.007860
  0.988720  0.003580
  0.997090  0.000890
  1.000000  0.000000

  0.003090  0.005520
  0.000020  0.000370
  0.002150 -0.002940
  0.010110 -0.004950
  0.023410 -0.006050
  0.042080 -0.006040
  0.066060 -0.005010
  0.095250 -0.003030
  0.129450 -0.000270
  0.168360  0.003090
  0.211610  0.006830
  0.258710  0.010740
  0.309120  0.014630
  0.362220  0.018310
  0.417360  0.021600
  0.473820  0.024380
  0.530870  0.026510
  0.587760  0.027900
  0.643730  0.028480
  0.698000  0.028230
  0.749830  0.027140
  0.798500  0.025260
  0.843300  0.022640
  0.883600  0.019400
  0.918800  0.015640
  0.948330  0.011490
  0.971470  0.007130
  0.987630  0.003290
  0.996970  0.000820
  1.000000  0.000000
