E62  (5.62%)
       32.       30.

  0.004210  0.007200
  0.012380  0.014080
  0.024760  0.021480
  0.041330  0.029100
  0.062020  0.036670
  0.086720  0.044010
  0.115230  0.050940
  0.147360  0.057340
  0.182800  0.063080
  0.221260  0.068060
  0.262380  0.072220
  0.305780  0.075470
  0.351020  0.077780
  0.397680  0.079090
  0.445270  0.079390
  0.493340  0.078610
  0.541450  0.076690
  0.589250  0.073640
  0.636360  0.069570
  0.682420  0.064630
  0.726970  0.059050
  0.769510  0.053010
  0.809550  0.046670
  0.846650  0.040170
  0.880360  0.033630
  0.910300  0.027180
  0.936100  0.020860
  0.957640  0.014630
  0.975090  0.008760
  0.988400  0.003970
  0.996990  0.000980
  1.000000  0.000000

  0.004210  0.007200
  0.000240  0.001400
  0.001150 -0.002400
  0.007620 -0.004470
  0.019740 -0.005370
  0.037440 -0.005020
  0.060680 -0.003510
  0.089360 -0.000980
  0.123280  0.002360
  0.162160  0.006300
  0.205610  0.010600
  0.253150  0.015010
  0.304250  0.019280
  0.358280  0.023140
  0.414490  0.026260
  0.471950  0.028540
  0.529820  0.029960
  0.587330  0.030560
  0.643710  0.030320
  0.698230  0.029290
  0.750160  0.027500
  0.798790  0.025040
  0.843470  0.021980
  0.883570  0.018470
  0.918540  0.014620
  0.947850  0.010590
  0.970920  0.006560
  0.987250  0.003080
  0.996850  0.000780
  1.000000  0.000000
