NACA 64(4)-421
       26.       26.

  0.000000  0.000000
  0.002270  0.017230
  0.004450  0.021010
  0.009030  0.027070
  0.020960  0.038340
  0.045450  0.054820
  0.070280  0.067440
  0.095280  0.077860
  0.145530  0.094420
  0.195990  0.106780
  0.246570  0.115910
  0.297230  0.122090
  0.347940  0.125390
  0.398650  0.125720
  0.449360  0.122200
  0.500000  0.116100
  0.550550  0.107970
  0.600990  0.098190
  0.651310  0.087080
  0.701500  0.074910
  0.751540  0.062030
  0.801450  0.048760
  0.851220  0.035560
  0.900870  0.022760
  0.950420  0.010790
  1.000000  0.000000

  0.000000  0.000000
  0.007730 -0.015230
  0.010550 -0.018210
  0.015970 -0.022790
  0.029040 -0.030900
  0.054550 -0.042180
  0.079720 -0.050480
  0.104720 -0.057180
  0.154470 -0.067500
  0.204010 -0.074940
  0.253430 -0.080110
  0.302770 -0.083210
  0.352060 -0.084190
  0.401350 -0.082880
  0.450640 -0.078400
  0.500000 -0.071980
  0.549450 -0.064170
  0.599010 -0.055350
  0.648690 -0.045880
  0.698500 -0.036030
  0.748460 -0.026230
  0.798550 -0.016920
  0.848780 -0.008640
  0.899130 -0.002080
  0.949580  0.001850
  1.000000  0.000000
