AH 93-W-257
       49.       49.

  0.000000  0.000000
  0.001070  0.008400
  0.004280  0.016100
  0.009610  0.024070
  0.017040  0.032540
  0.026530  0.041330
  0.038060  0.050350
  0.051560  0.059420
  0.066990  0.068430
  0.084270  0.077240
  0.103320  0.085750
  0.124080  0.093870
  0.146450  0.101480
  0.170330  0.108490
  0.195620  0.114810
  0.222210  0.120320
  0.250000  0.124900
  0.278860  0.128420
  0.308660  0.130750
  0.339280  0.131770
  0.370590  0.131390
  0.402450  0.129570
  0.434740  0.126300
  0.467300  0.121680
  0.500000  0.115920
  0.532700  0.109280
  0.565260  0.102090
  0.597550  0.094610
  0.629410  0.087020
  0.660720  0.079470
  0.691340  0.072030
  0.721140  0.064790
  0.750000  0.057830
  0.777790  0.051210
  0.804380  0.044990
  0.829670  0.039210
  0.853550  0.033880
  0.875920  0.028990
  0.896680  0.024550
  0.915730  0.020500
  0.933010  0.016830
  0.948440  0.013490
  0.961940  0.010500
  0.973470  0.007770
  0.982960  0.005280
  0.990390  0.003250
  0.995720  0.001620
  0.998930  0.000620
  1.000000  0.000290

  0.000000  0.000000
  0.001070 -0.010270
  0.004280 -0.020840
  0.009610 -0.031190
  0.017040 -0.041160
  0.026530 -0.051170
  0.038060 -0.060750
  0.051560 -0.069810
  0.066990 -0.078470
  0.084270 -0.086730
  0.103320 -0.094540
  0.124080 -0.101810
  0.146450 -0.108370
  0.170330 -0.114060
  0.195620 -0.118740
  0.222210 -0.122330
  0.250000 -0.124800
  0.278860 -0.126040
  0.308660 -0.125990
  0.339280 -0.124610
  0.370590 -0.121940
  0.402450 -0.117990
  0.434740 -0.112770
  0.467300 -0.106230
  0.500000 -0.098420
  0.532700 -0.089530
  0.565260 -0.079800
  0.597550 -0.069530
  0.629410 -0.059100
  0.660720 -0.048860
  0.691340 -0.039130
  0.721140 -0.030200
  0.750000 -0.022260
  0.777790 -0.015500
  0.804380 -0.010060
  0.829670 -0.005940
  0.853550 -0.003030
  0.875920 -0.001230
  0.896680 -0.000380
  0.915730 -0.000350
  0.933010 -0.000960
  0.948440 -0.002010
  0.961940 -0.003370
  0.973470 -0.004800
  0.982960 -0.006010
  0.990390 -0.006960
  0.995720 -0.007280
  0.998930 -0.007390
  1.000000 -0.007440
