NACA 747A415
       26.       26.

  0.000000  0.000000
  0.001830  0.013180
  0.003980  0.016220
  0.008520  0.021060
  0.020410  0.030160
  0.044870  0.044110
  0.069720  0.054880
  0.094760  0.063900
  0.145210  0.078270
  0.195980  0.088970
  0.246980  0.096870
  0.298180  0.102160
  0.349640  0.104970
  0.401760  0.104990
  0.453640  0.101210
  0.504470  0.095160
  0.554740  0.087530
  0.604540  0.078590
  0.653930  0.068780
  0.702730  0.058380
  0.751640  0.047830
  0.801070  0.036920
  0.850660  0.025920
  0.900370  0.015460
  0.950150  0.006390
  1.000000  0.000000

  0.000000  0.000000
  0.008170 -0.009940
  0.011020 -0.011600
  0.016480 -0.014060
  0.029590 -0.018220
  0.055130 -0.023490
  0.080280 -0.027300
  0.105240 -0.030380
  0.154790 -0.035010
  0.204020 -0.038450
  0.253020 -0.040950
  0.301820 -0.042860
  0.350360 -0.044110
  0.398240 -0.044850
  0.446360 -0.044930
  0.495530 -0.044620
  0.545260 -0.043810
  0.595460 -0.042350
  0.646070 -0.039920
  0.697270 -0.036220
  0.748360 -0.030530
  0.798930 -0.023440
  0.849340 -0.015780
  0.899630 -0.008380
  0.949850 -0.002470
  1.000000  0.000000
