NACA 63-206
       26.       26.

  0.000000  0.000000
  0.004580  0.005510
  0.007030  0.006770
  0.011970  0.008760
  0.024380  0.012410
  0.049320  0.017760
  0.074290  0.021890
  0.099300  0.025260
  0.149340  0.030580
  0.199410  0.034510
  0.249500  0.037360
  0.299600  0.039260
  0.349700  0.040300
  0.399810  0.040420
  0.449910  0.039720
  0.500000  0.038260
  0.550080  0.036120
  0.600150  0.033380
  0.650200  0.030120
  0.700230  0.026420
  0.750230  0.022370
  0.800220  0.018040
  0.850490  0.013560
  0.900130  0.009000
  0.950060  0.004540
  1.000000  0.000000

  0.000000  0.000000
  0.005420 -0.004510
  0.007970 -0.005370
  0.013030 -0.006620
  0.025620 -0.008690
  0.050680 -0.011440
  0.075710 -0.013410
  0.100700 -0.014920
  0.150660 -0.017120
  0.200590 -0.018590
  0.250500 -0.019460
  0.300400 -0.019820
  0.350300 -0.019700
  0.400190 -0.019000
  0.450090 -0.017820
  0.500000 -0.016200
  0.549920 -0.014220
  0.599850 -0.011960
  0.649800 -0.009520
  0.699770 -0.006980
  0.749270 -0.004470
  0.799780 -0.002120
  0.849810 -0.000100
  0.899870  0.001340
  0.949940  0.001780
  1.000000  0.000000
