AS5046 (16%)
       41.       41.

  0.001930  0.008010
  0.006320  0.015440
  0.013220  0.023020
  0.022600  0.030580
  0.034500  0.038030
  0.048760  0.045270
  0.065370  0.052150
  0.084290  0.058630
  0.105380  0.064540
  0.128680  0.069830
  0.154110  0.074560
  0.181480  0.078740
  0.210600  0.082330
  0.241300  0.085270
  0.273420  0.087520
  0.306800  0.089080
  0.341230  0.089960
  0.376490  0.090130
  0.412350  0.089570
  0.448600  0.088240
  0.485020  0.086100
  0.521390  0.083070
  0.557590  0.078960
  0.593580  0.073750
  0.629620  0.067330
  0.666090  0.060040
  0.702700  0.052770
  0.738890  0.045960
  0.774090  0.039820
  0.807670  0.034410
  0.839240  0.029600
  0.868470  0.025320
  0.895120  0.021460
  0.918950  0.017970
  0.939790  0.014740
  0.957490  0.011680
  0.972200  0.008660
  0.984010  0.005940
  0.992600  0.003720
  0.998040  0.002000
  1.000000  0.001340

  0.001930  0.008010
  0.000030  0.000970
  0.000710 -0.004890
  0.005100 -0.009880
  0.013420 -0.015050
  0.024890 -0.020440
  0.039250 -0.025960
  0.056250 -0.031550
  0.075710 -0.037100
  0.097450 -0.042460
  0.121330 -0.047520
  0.147230 -0.052160
  0.175050 -0.056340
  0.204620 -0.060030
  0.235770 -0.063210
  0.268290 -0.065820
  0.301980 -0.067830
  0.336640 -0.069190
  0.372080 -0.069860
  0.408060 -0.069800
  0.444350 -0.068990
  0.480680 -0.067250
  0.517000 -0.064450
  0.553150 -0.060460
  0.589350 -0.055090
  0.625820 -0.048600
  0.662650 -0.041320
  0.700100 -0.033960
  0.737350 -0.027220
  0.773540 -0.021350
  0.808270 -0.016320
  0.841110 -0.012100
  0.871650 -0.008700
  0.899520 -0.006050
  0.924390 -0.004070
  0.945910 -0.002560
  0.964210 -0.001290
  0.979310 -0.000500
  0.990650 -0.000520
  0.997630 -0.001010
  1.000000 -0.001340
