NACA 0012-34
       17.       17.

  0.000000  0.000000
  0.012500  0.011330
  0.025000  0.016800
  0.050000  0.024930
  0.075000  0.031330
  0.100000  0.036530
  0.150000  0.044930
  0.200000  0.050930
  0.300000  0.058000
  0.400000  0.060000
  0.500000  0.058270
  0.600000  0.053200
  0.700000  0.044800
  0.800000  0.033200
  0.900000  0.018670
  0.950000  0.010270
  1.000000  0.001200

  0.000000  0.000000
  0.012500 -0.011330
  0.025000 -0.016800
  0.050000 -0.024930
  0.075000 -0.031330
  0.100000 -0.036530
  0.150000 -0.044930
  0.200000 -0.050930
  0.300000 -0.058000
  0.400000 -0.060000
  0.500000 -0.058270
  0.600000 -0.053200
  0.700000 -0.044800
  0.800000 -0.033200
  0.900000 -0.018670
  0.950000 -0.010270
  1.000000 -0.001200
