E212  (10.55%)
       31.       31.

  0.004990  0.009670
  0.014100  0.017900
  0.027580  0.026360
  0.045340  0.034730
  0.067290  0.042750
  0.093270  0.050230
  0.123090  0.057010
  0.156510  0.062950
  0.193260  0.067940
  0.233030  0.071880
  0.275480  0.074730
  0.320230  0.076470
  0.366890  0.077080
  0.415020  0.076600
  0.464160  0.075070
  0.513830  0.072560
  0.563550  0.069150
  0.612820  0.064960
  0.661120  0.060080
  0.707960  0.054650
  0.752830  0.048810
  0.795250  0.042690
  0.834740  0.036450
  0.870850  0.030230
  0.903160  0.024180
  0.931240  0.018440
  0.954720  0.013070
  0.973460  0.008030
  0.987590  0.003720
  0.996760  0.000920
  1.000000  0.000000

  0.004990  0.009670
  0.000320  0.002240
  0.001220 -0.003980
  0.008000 -0.009700
  0.019840 -0.015320
  0.036480 -0.020450
  0.057800 -0.024860
  0.083630 -0.028400
  0.113790 -0.030970
  0.148080 -0.032520
  0.186210 -0.033010
  0.227900 -0.032480
  0.272800 -0.030990
  0.320510 -0.028610
  0.370590 -0.025480
  0.422570 -0.021750
  0.475900 -0.017590
  0.530030 -0.013200
  0.584340 -0.008780
  0.638190 -0.004520
  0.690900 -0.000630
  0.741790  0.002710
  0.790160  0.005350
  0.835280  0.007130
  0.876430  0.007940
  0.912840  0.007760
  0.943820  0.006590
  0.968510  0.004580
  0.986150  0.002310
  0.996570  0.000610
  1.000000  0.000000
