FX 73-CL2-152
       49.       49.

  0.000000  0.000000
  0.001070  0.008000
  0.004280  0.017270
  0.009610  0.027450
  0.017040  0.037980
  0.026530  0.048390
  0.038060  0.058540
  0.051560  0.068480
  0.066990  0.078200
  0.084270  0.087680
  0.103320  0.096770
  0.124080  0.105390
  0.146450  0.113360
  0.170330  0.120370
  0.195620  0.126160
  0.222210  0.130640
  0.250000  0.133900
  0.278860  0.135910
  0.308660  0.136480
  0.339280  0.135550
  0.370590  0.133350
  0.402450  0.130270
  0.434740  0.126610
  0.467300  0.122490
  0.500000  0.117980
  0.532700  0.113160
  0.565260  0.108110
  0.597550  0.102880
  0.629410  0.097510
  0.660720  0.092040
  0.691340  0.086500
  0.721140  0.080900
  0.750000  0.075230
  0.777790  0.069550
  0.804380  0.063860
  0.829670  0.058170
  0.853550  0.052490
  0.875920  0.046860
  0.896680  0.041270
  0.915730  0.035760
  0.933010  0.030360
  0.948440  0.025140
  0.961940  0.020140
  0.973470  0.015400
  0.982960  0.011030
  0.990390  0.007150
  0.995720  0.003940
  0.998930  0.001380
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.006970
  0.004280 -0.013190
  0.009610 -0.018650
  0.017040 -0.023040
  0.026530 -0.026230
  0.038060 -0.028460
  0.051560 -0.030030
  0.066990 -0.031130
  0.084270 -0.031740
  0.103320 -0.031750
  0.124080 -0.031020
  0.146450 -0.029550
  0.170330 -0.027390
  0.195620 -0.024680
  0.222210 -0.021530
  0.250000 -0.018030
  0.278860 -0.014310
  0.308660 -0.010410
  0.339280 -0.006370
  0.370590 -0.002240
  0.402450  0.001880
  0.434740  0.005910
  0.467300  0.009800
  0.500000  0.013530
  0.532700  0.017050
  0.565260  0.020280
  0.597550  0.023170
  0.629410  0.025650
  0.660720  0.027690
  0.691340  0.029250
  0.721140  0.030350
  0.750000  0.030960
  0.777790  0.031030
  0.804380  0.030570
  0.829670  0.029590
  0.853550  0.028230
  0.875920  0.026520
  0.896680  0.024370
  0.915730  0.021840
  0.933010  0.018980
  0.948440  0.015970
  0.961940  0.012900
  0.973470  0.009800
  0.982960  0.006840
  0.990390  0.004180
  0.995720  0.002080
  0.998930  0.000510
  1.000000  0.000000
