AH 95-160
       63.       58.

  0.000000 -0.000430
  0.000130  0.002220
  0.000610  0.005050
  0.001470  0.008080
  0.002760  0.011380
  0.004580  0.015000
  0.007070  0.019030
  0.010410  0.023540
  0.014890  0.028640
  0.020800  0.034400
  0.028460  0.040840
  0.037990  0.047810
  0.049310  0.055040
  0.062200  0.062290
  0.076380  0.069390
  0.091620  0.076230
  0.107690  0.082760
  0.124440  0.088920
  0.141770  0.094710
  0.159560  0.100110
  0.177730  0.105120
  0.196210  0.109740
  0.214960  0.113970
  0.233930  0.117810
  0.253070  0.121260
  0.272330  0.124320
  0.291700  0.127000
  0.311130  0.129280
  0.330580  0.131160
  0.350010  0.132640
  0.369390  0.133700
  0.388680  0.134330
  0.407890  0.134530
  0.427040  0.134280
  0.446160  0.133590
  0.465250  0.132450
  0.484290  0.130860
  0.503240  0.128830
  0.522100  0.126350
  0.540890  0.123410
  0.559670  0.120010
  0.578540  0.116130
  0.597630  0.111770
  0.617070  0.106950
  0.636950  0.101700
  0.657300  0.096080
  0.678100  0.090170
  0.699220  0.084070
  0.720580  0.077860
  0.742090  0.071580
  0.763670  0.065280
  0.785240  0.058990
  0.806810  0.052690
  0.828380  0.046400
  0.849960  0.040120
  0.871540  0.033860
  0.893120  0.027640
  0.914690  0.021470
  0.936170  0.015410
  0.957150  0.009620
  0.976090  0.004500
  0.990430  0.000780
  1.000200 -0.001510

  0.000000 -0.000430
  0.000250 -0.003060
  0.000970 -0.005710
  0.002210 -0.008280
  0.003990 -0.010680
  0.006320 -0.012880
  0.009210 -0.014890
  0.012730 -0.016790
  0.017070 -0.018650
  0.022530 -0.020520
  0.029560 -0.022390
  0.038760 -0.024210
  0.050860 -0.025850
  0.066510 -0.027170
  0.085660 -0.028160
  0.106870 -0.028890
  0.128690 -0.029350
  0.150890 -0.029580
  0.173390 -0.029640
  0.195970 -0.029580
  0.218550 -0.029400
  0.241090 -0.029130
  0.263570 -0.028770
  0.286010 -0.028340
  0.308410 -0.027850
  0.330790 -0.027300
  0.353150 -0.026700
  0.375490 -0.026050
  0.397820 -0.025340
  0.420150 -0.024580
  0.442470 -0.023760
  0.464790 -0.022880
  0.487110 -0.021940
  0.509430 -0.020940
  0.531750 -0.019870
  0.554070 -0.018750
  0.576390 -0.017550
  0.598710 -0.016300
  0.621030 -0.015020
  0.643350 -0.013710
  0.665670 -0.012410
  0.688000 -0.011120
  0.710360 -0.009870
  0.732790 -0.008640
  0.755300 -0.007430
  0.777760 -0.006240
  0.800180 -0.005080
  0.822660 -0.003990
  0.844970 -0.003010
  0.866860 -0.002180
  0.888120 -0.001540
  0.908490 -0.001120
  0.927900 -0.000950
  0.946290 -0.001030
  0.963290 -0.001400
  0.978250 -0.002010
  0.990400 -0.002810
  0.999800 -0.003670
