AH 93-W-174
       49.       49.

  0.000000  0.000000
  0.001070  0.006190
  0.004280  0.012970
  0.009610  0.020430
  0.017040  0.028490
  0.026530  0.036910
  0.038060  0.045540
  0.051560  0.054280
  0.066990  0.062980
  0.084270  0.071540
  0.103320  0.079840
  0.124080  0.087780
  0.146450  0.095260
  0.170330  0.102190
  0.195620  0.108460
  0.222210  0.113990
  0.250000  0.118640
  0.278860  0.122260
  0.308660  0.124720
  0.339280  0.125900
  0.370590  0.125710
  0.402450  0.124090
  0.434740  0.121040
  0.467300  0.116660
  0.500000  0.111130
  0.532700  0.104740
  0.565260  0.097810
  0.597550  0.090600
  0.629410  0.083310
  0.660720  0.076040
  0.691340  0.068890
  0.721140  0.061940
  0.750000  0.055240
  0.777790  0.048880
  0.804380  0.042910
  0.829670  0.037370
  0.853550  0.032260
  0.875920  0.027590
  0.896680  0.023340
  0.915730  0.019470
  0.933010  0.015960
  0.948440  0.012780
  0.961940  0.009900
  0.973470  0.007280
  0.982960  0.004910
  0.990390  0.002870
  0.995720  0.001330
  0.998930  0.000330
  1.000000  0.000010

  0.000000  0.000000
  0.001070 -0.006040
  0.004280 -0.012040
  0.009610 -0.017830
  0.017040 -0.023200
  0.026530 -0.028080
  0.038060 -0.032470
  0.051560 -0.036330
  0.066990 -0.039670
  0.084270 -0.042510
  0.103320 -0.044880
  0.124080 -0.046780
  0.146450 -0.048240
  0.170330 -0.049290
  0.195620 -0.049960
  0.222210 -0.050270
  0.250000 -0.050250
  0.278860 -0.049930
  0.308660 -0.049300
  0.339280 -0.048370
  0.370590 -0.047140
  0.402450 -0.045600
  0.434740 -0.043770
  0.467300 -0.041640
  0.500000 -0.039230
  0.532700 -0.036560
  0.565260 -0.033650
  0.597550 -0.030540
  0.629410 -0.027270
  0.660720 -0.023890
  0.691340 -0.020460
  0.721140 -0.017040
  0.750000 -0.013700
  0.777790 -0.010530
  0.804380 -0.007590
  0.829670 -0.004960
  0.853550 -0.002700
  0.875920 -0.000830
  0.896680  0.000620
  0.915730  0.001630
  0.933010  0.002210
  0.948440  0.002390
  0.961940  0.002220
  0.973470  0.001840
  0.982960  0.001330
  0.990390  0.000840
  0.995720  0.000400
  0.998930  0.000100
  1.000000  0.000010
