SD7080 (9.2%)
       31.       31.

  0.003220  0.007630
  0.010680  0.015580
  0.022370  0.023830
  0.038210  0.032030
  0.058140  0.039830
  0.082100  0.046990
  0.109960  0.053340
  0.141570  0.058750
  0.176700  0.063120
  0.215090  0.066410
  0.256440  0.068580
  0.300400  0.069660
  0.346560  0.069690
  0.394480  0.068710
  0.443700  0.066800
  0.493710  0.064040
  0.543990  0.060520
  0.594020  0.056350
  0.643260  0.051630
  0.691170  0.046470
  0.737200  0.040970
  0.780840  0.035190
  0.821690  0.029190
  0.859430  0.023130
  0.893720  0.017280
  0.924130  0.011950
  0.950180  0.007430
  0.971330  0.003950
  0.987010  0.001620
  0.996710  0.000370
  1.000000  0.000000

  0.003220  0.007630
  0.000030  0.000610
  0.002160 -0.004920
  0.010160 -0.009480
  0.023470 -0.013540
  0.041980 -0.016940
  0.065490 -0.019620
  0.093830 -0.021560
  0.126760 -0.022790
  0.163970 -0.023370
  0.205080 -0.023380
  0.249620 -0.022890
  0.297100 -0.021940
  0.347000 -0.020590
  0.398770 -0.018910
  0.451830 -0.016960
  0.505590 -0.014800
  0.559450 -0.012500
  0.612810 -0.010150
  0.665050 -0.007830
  0.715570 -0.005640
  0.763760 -0.003660
  0.809000 -0.002010
  0.850680 -0.000720
  0.888200  0.000170
  0.921040  0.000690
  0.948710  0.000870
  0.970790  0.000760
  0.986890  0.000470
  0.996710  0.000150
  1.000010  0.000000
