FX 77-W-270
       49.       49.

  0.000000  0.000000
  0.001070  0.017540
  0.004280  0.027280
  0.009610  0.039160
  0.017040  0.049870
  0.026530  0.062610
  0.038060  0.074540
  0.051560  0.087730
  0.066990  0.099890
  0.084270  0.112610
  0.103320  0.124030
  0.124080  0.135560
  0.146450  0.145480
  0.170330  0.154960
  0.195620  0.162690
  0.222210  0.169500
  0.250000  0.174140
  0.278860  0.177340
  0.308660  0.178030
  0.339280  0.176940
  0.370590  0.172860
  0.402450  0.166780
  0.434740  0.159150
  0.467300  0.151340
  0.500000  0.142800
  0.532700  0.134530
  0.565260  0.125760
  0.597550  0.117600
  0.629410  0.109070
  0.660720  0.101040
  0.691340  0.092830
  0.721140  0.085140
  0.750000  0.077580
  0.777790  0.070660
  0.804380  0.063990
  0.829670  0.058000
  0.853550  0.052310
  0.875920  0.047340
  0.896680  0.042680
  0.915730  0.038690
  0.933010  0.035030
  0.948440  0.031950
  0.961940  0.029250
  0.973470  0.027000
  0.982960  0.025100
  0.990390  0.023560
  0.995720  0.022310
  0.998930  0.021350
  1.000000  0.021350

  0.000000  0.000000
  0.001070 -0.012750
  0.004280 -0.017710
  0.009610 -0.025380
  0.017040 -0.030950
  0.026530 -0.037390
  0.038060 -0.042500
  0.051560 -0.048650
  0.066990 -0.053610
  0.084270 -0.059300
  0.103320 -0.063940
  0.124080 -0.069110
  0.146450 -0.073240
  0.170330 -0.077730
  0.195620 -0.081260
  0.222210 -0.084970
  0.250000 -0.087760
  0.278860 -0.090580
  0.308660 -0.092480
  0.339280 -0.094290
  0.370590 -0.095140
  0.402450 -0.095740
  0.434740 -0.095220
  0.467300 -0.094330
  0.500000 -0.092220
  0.532700 -0.089540
  0.565260 -0.085070
  0.597550 -0.079660
  0.629410 -0.072170
  0.660720 -0.064810
  0.691340 -0.057440
  0.721140 -0.050920
  0.750000 -0.044850
  0.777790 -0.039700
  0.804380 -0.035040
  0.829670 -0.031260
  0.853550 -0.027900
  0.875920 -0.025310
  0.896680 -0.023140
  0.915730 -0.021670
  0.933010 -0.020550
  0.948440 -0.019950
  0.961940 -0.019640
  0.973470 -0.019660
  0.982960 -0.019860
  0.990390 -0.020210
  0.995720 -0.020570
  0.998930 -0.020810
  1.000000 -0.020810
