NACA 64(3)-218
       26.       26.

  0.000000  0.000000
  0.003800  0.014730
  0.006170  0.017850
  0.010990  0.022790
  0.023250  0.031860
  0.048040  0.044970
  0.072970  0.054960
  0.097970  0.063160
  0.148080  0.076120
  0.198280  0.085760
  0.248530  0.092850
  0.298810  0.097600
  0.349120  0.100090
  0.399420  0.100230
  0.449720  0.097250
  0.500000  0.092170
  0.550240  0.085400
  0.600430  0.077290
  0.650570  0.068120
  0.700650  0.058140
  0.750680  0.047600
  0.800640  0.036830
  0.850540  0.026230
  0.900380  0.016170
  0.950190  0.007160
  1.000000  0.000000

  0.000000  0.000000
  0.006200 -0.013730
  0.008830 -0.016450
  0.014010 -0.020650
  0.026750 -0.028140
  0.051960 -0.038650
  0.077030 -0.046480
  0.102030 -0.052820
  0.151920 -0.062660
  0.201720 -0.069840
  0.251470 -0.074950
  0.301190 -0.078160
  0.350880 -0.079490
  0.400580 -0.078810
  0.450280 -0.075350
  0.500000 -0.070110
  0.549760 -0.063500
  0.599570 -0.055870
  0.649430 -0.047520
  0.699350 -0.038700
  0.749360 -0.029700
  0.799360 -0.020910
  0.849460 -0.012770
  0.899620 -0.005830
  0.949810 -0.000840
  1.000000  0.000000
