S7075 (9%)
       42.       40.

  0.001120  0.003960
  0.004260  0.009830
  0.009740  0.015720
  0.017830  0.021580
  0.028460  0.027510
  0.041550  0.033360
  0.057040  0.039060
  0.074850  0.044510
  0.094900  0.049630
  0.117140  0.054380
  0.141430  0.058680
  0.167690  0.062490
  0.195780  0.065790
  0.225560  0.068540
  0.256900  0.070720
  0.289610  0.072320
  0.323550  0.073340
  0.358530  0.073770
  0.394360  0.073620
  0.430860  0.072900
  0.467820  0.071650
  0.505020  0.069880
  0.542280  0.067620
  0.579360  0.064920
  0.616050  0.061810
  0.652130  0.058330
  0.687360  0.054520
  0.721520  0.050390
  0.754380  0.045960
  0.785850  0.041140
  0.815900  0.036030
  0.844350  0.030840
  0.871050  0.025650
  0.895900  0.020640
  0.918650  0.015990
  0.939060  0.011830
  0.956890  0.008250
  0.971890  0.005320
  0.983840  0.003010
  0.992620  0.001300
  0.998110  0.000300
  1.000000  0.000000

  0.001120  0.003960
  0.000120 -0.001270
  0.002050 -0.005320
  0.007400 -0.008610
  0.015860 -0.011540
  0.027360 -0.014030
  0.041820 -0.016160
  0.059150 -0.017850
  0.079270 -0.019120
  0.102080 -0.019970
  0.127460 -0.020410
  0.155270 -0.020490
  0.185360 -0.020220
  0.217560 -0.019650
  0.251670 -0.018800
  0.287490 -0.017740
  0.324780 -0.016490
  0.363310 -0.015100
  0.402830 -0.013600
  0.443060 -0.012050
  0.483750 -0.010470
  0.524600 -0.008890
  0.565340 -0.007340
  0.605680 -0.005840
  0.645320 -0.004380
  0.683970 -0.002910
  0.721490 -0.001400
  0.757690  0.000090
  0.792350  0.001600
  0.825430  0.003010
  0.856790  0.003990
  0.885820  0.004200
  0.911900  0.003780
  0.934780  0.003120
  0.954350  0.002370
  0.970530  0.001630
  0.983220  0.000990
  0.992430  0.000510
  0.998080  0.000160
  1.000000  0.000000
