NACA 65(4)-421
       26.       26.

  0.000000  0.000000
  0.002470  0.016010
  0.004680  0.019560
  0.009330  0.024930
  0.021350  0.035050
  0.045820  0.050850
  0.070620  0.063290
  0.095570  0.073710
  0.145750  0.090340
  0.196160  0.103040
  0.246680  0.112710
  0.297290  0.119760
  0.347960  0.124330
  0.398650  0.126400
  0.449340  0.125560
  0.500000  0.121580
  0.550590  0.114670
  0.601080  0.105310
  0.651450  0.094190
  0.701680  0.081660
  0.751760  0.068110
  0.801670  0.053880
  0.851430  0.039400
  0.901040  0.025140
  0.950510  0.011760
  1.000000  0.000000

  0.000000  0.000000
  0.007530 -0.014010
  0.010320 -0.016760
  0.015670 -0.020650
  0.028650 -0.027610
  0.054170 -0.038210
  0.079380 -0.046330
  0.104430 -0.053030
  0.154250 -0.063420
  0.203840 -0.071200
  0.253320 -0.076910
  0.302710 -0.080880
  0.352040 -0.083130
  0.401350 -0.083560
  0.450660 -0.081760
  0.500000 -0.077460
  0.549410 -0.070870
  0.598920 -0.062470
  0.648550 -0.052990
  0.698320 -0.042780
  0.748240 -0.032310
  0.798330 -0.022040
  0.848570 -0.012480
  0.898960 -0.004460
  0.949490  0.000880
  1.000000  0.000000
