FX 73-CL1-152
       49.       49.

  0.000000  0.000000
  0.001070  0.007780
  0.004280  0.016070
  0.009610  0.025250
  0.017040  0.035130
  0.026530  0.045330
  0.038060  0.055740
  0.051560  0.066250
  0.066990  0.076730
  0.084270  0.086870
  0.103320  0.096480
  0.124080  0.105470
  0.146450  0.113630
  0.170330  0.120670
  0.195620  0.126310
  0.222210  0.130430
  0.250000  0.133110
  0.278860  0.134340
  0.308660  0.133920
  0.339280  0.131840
  0.370590  0.128330
  0.402450  0.123800
  0.434740  0.118560
  0.467300  0.112780
  0.500000  0.106580
  0.532700  0.100090
  0.565260  0.093420
  0.597550  0.086670
  0.629410  0.079930
  0.660720  0.073270
  0.691340  0.066750
  0.721140  0.060430
  0.750000  0.054320
  0.777790  0.048480
  0.804380  0.042940
  0.829670  0.037720
  0.853550  0.032790
  0.875920  0.028150
  0.896680  0.023870
  0.915730  0.019970
  0.933010  0.016440
  0.948440  0.013200
  0.961940  0.010250
  0.973470  0.007620
  0.982960  0.005310
  0.990390  0.003350
  0.995720  0.001800
  0.998930  0.000660
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.007560
  0.004280 -0.014850
  0.009610 -0.021150
  0.017040 -0.025950
  0.026530 -0.029250
  0.038060 -0.031320
  0.051560 -0.032520
  0.066990 -0.032930
  0.084270 -0.032760
  0.103320 -0.032070
  0.124080 -0.030910
  0.146450 -0.029280
  0.170330 -0.027090
  0.195620 -0.024540
  0.222210 -0.021750
  0.250000 -0.018820
  0.278860 -0.015890
  0.308660 -0.012960
  0.339280 -0.010080
  0.370590 -0.007260
  0.402450 -0.004600
  0.434740 -0.002150
  0.467300  0.000090
  0.500000  0.002140
  0.532700  0.003980
  0.565260  0.005600
  0.597550  0.006970
  0.629410  0.008080
  0.660720  0.008920
  0.691340  0.009500
  0.721140  0.009880
  0.750000  0.010040
  0.777790  0.009970
  0.804380  0.009650
  0.829670  0.009150
  0.853550  0.008520
  0.875920  0.007770
  0.896680  0.006940
  0.915730  0.006020
  0.933010  0.005050
  0.948440  0.004030
  0.961940  0.003010
  0.973470  0.002010
  0.982960  0.001110
  0.990390  0.000390
  0.995720 -0.000060
  0.998930 -0.000200
  1.000000  0.000000
