FX 84-W-097
       49.       49.

  0.000000  0.000000
  0.001070  0.004190
  0.004280  0.008670
  0.009610  0.013470
  0.017040  0.018540
  0.026530  0.023760
  0.038060  0.029110
  0.051560  0.034490
  0.066990  0.039850
  0.084270  0.045110
  0.103320  0.050200
  0.124080  0.055020
  0.146450  0.059480
  0.170330  0.063530
  0.195620  0.067110
  0.222210  0.070230
  0.250000  0.072760
  0.278860  0.074690
  0.308660  0.075990
  0.339280  0.076590
  0.370590  0.076540
  0.402450  0.075830
  0.434740  0.074450
  0.467300  0.072470
  0.500000  0.069880
  0.532700  0.066770
  0.565260  0.063220
  0.597550  0.059260
  0.629410  0.054990
  0.660720  0.050500
  0.691340  0.045840
  0.721140  0.041130
  0.750000  0.036430
  0.777790  0.031820
  0.804380  0.027390
  0.829670  0.023200
  0.853550  0.019290
  0.875920  0.015710
  0.896680  0.012500
  0.915730  0.009680
  0.933010  0.007260
  0.948440  0.005240
  0.961940  0.003590
  0.973470  0.002300
  0.982960  0.001350
  0.990390  0.000690
  0.995720  0.000280
  0.998930  0.000060
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.003870
  0.004280 -0.007420
  0.009610 -0.010560
  0.017040 -0.013290
  0.026530 -0.015630
  0.038060 -0.017610
  0.051560 -0.019230
  0.066990 -0.020520
  0.084270 -0.021510
  0.103320 -0.022210
  0.124080 -0.022670
  0.146450 -0.022920
  0.170330 -0.022980
  0.195620 -0.022880
  0.222210 -0.022640
  0.250000 -0.022300
  0.278860 -0.021880
  0.308660 -0.021380
  0.339280 -0.020810
  0.370590 -0.020190
  0.402450 -0.019500
  0.434740 -0.018760
  0.467300 -0.017970
  0.500000 -0.017110
  0.532700 -0.016200
  0.565260 -0.015210
  0.597550 -0.014160
  0.629410 -0.013050
  0.660720 -0.011880
  0.691340 -0.010680
  0.721140 -0.009440
  0.750000 -0.008190
  0.777790 -0.006940
  0.804380 -0.005740
  0.829670 -0.004600
  0.853550 -0.003540
  0.875920 -0.002580
  0.896680 -0.001750
  0.915730 -0.001060
  0.933010 -0.000520
  0.948440 -0.000140
  0.961940  0.000110
  0.973470  0.000240
  0.982960  0.000260
  0.990390  0.000210
  0.995720  0.000120
  0.998930  0.000030
  1.000000  0.000000
