NACA 66-210
       26.       26.

  0.000000  0.000000
  0.004360  0.008060
  0.006790  0.009800
  0.011710  0.012450
  0.024120  0.016990
  0.049020  0.024010
  0.073990  0.029580
  0.098980  0.034320
  0.149030  0.042020
  0.199120  0.047960
  0.249240  0.052570
  0.299370  0.056080
  0.349520  0.058620
  0.399680  0.060240
  0.449840  0.060950
  0.500000  0.060740
  0.550160  0.059600
  0.600300  0.057360
  0.650420  0.053320
  0.700510  0.047590
  0.750560  0.040710
  0.800550  0.032890
  0.850490  0.024450
  0.900370  0.015700
  0.950190  0.007240
  1.000000  0.000000

  0.000000  0.000000
  0.005640 -0.007060
  0.008210 -0.008400
  0.013290 -0.010310
  0.025880 -0.013270
  0.050980 -0.017690
  0.076010 -0.021100
  0.101020 -0.023890
  0.150970 -0.028560
  0.200880 -0.032040
  0.250760 -0.034670
  0.300630 -0.036640
  0.350480 -0.038020
  0.400320 -0.038820
  0.450160 -0.039050
  0.500000 -0.038680
  0.549840 -0.037700
  0.599700 -0.035940
  0.649580 -0.032720
  0.699490 -0.028150
  0.749440 -0.022810
  0.799450 -0.016970
  0.849510 -0.010990
  0.899630 -0.005360
  0.949810 -0.000920
  1.000000  0.000000
