FX 83-W-108
       49.       49.

  0.000000  0.000000
  0.001070  0.005500
  0.004280  0.011350
  0.009610  0.017040
  0.017040  0.022790
  0.026530  0.028430
  0.038060  0.034160
  0.051560  0.039750
  0.066990  0.045300
  0.084270  0.050660
  0.103320  0.055900
  0.124080  0.060920
  0.146450  0.065710
  0.170330  0.070190
  0.195620  0.074360
  0.222210  0.078160
  0.250000  0.081560
  0.278860  0.084530
  0.308660  0.087030
  0.339280  0.089030
  0.370590  0.090450
  0.402450  0.091280
  0.434740  0.091420
  0.467300  0.090930
  0.500000  0.089740
  0.532700  0.087840
  0.565260  0.085260
  0.597550  0.082000
  0.629410  0.078090
  0.660720  0.073660
  0.691340  0.068750
  0.721140  0.063580
  0.750000  0.058200
  0.777790  0.052790
  0.804380  0.047350
  0.829670  0.042060
  0.853550  0.036900
  0.875920  0.031970
  0.896680  0.027280
  0.915730  0.022930
  0.933010  0.018880
  0.948440  0.015150
  0.961940  0.011680
  0.973470  0.008550
  0.982960  0.005850
  0.990390  0.003670
  0.995720  0.002050
  0.998930  0.001060
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.004200
  0.004280 -0.008760
  0.009610 -0.012520
  0.017040 -0.015740
  0.026530 -0.018410
  0.038060 -0.020730
  0.051560 -0.022670
  0.066990 -0.024370
  0.084270 -0.025770
  0.103320 -0.026870
  0.124080 -0.027620
  0.146450 -0.028030
  0.170330 -0.028030
  0.195620 -0.027600
  0.222210 -0.026750
  0.250000 -0.025450
  0.278860 -0.023760
  0.308660 -0.021650
  0.339280 -0.019160
  0.370590 -0.016380
  0.402450 -0.013580
  0.434740 -0.010720
  0.467300 -0.008040
  0.500000 -0.005480
  0.532700 -0.003120
  0.565260 -0.000970
  0.597550  0.000950
  0.629410  0.002670
  0.660720  0.004080
  0.691340  0.005290
  0.721140  0.006220
  0.750000  0.006950
  0.777790  0.007340
  0.804380  0.007540
  0.829670  0.007460
  0.853550  0.007240
  0.875920  0.006800
  0.896680  0.006240
  0.915730  0.005490
  0.933010  0.004670
  0.948440  0.003750
  0.961940  0.002830
  0.973470  0.001930
  0.982960  0.001130
  0.990390  0.000430
  0.995720 -0.000140
  0.998930 -0.000550
  1.000000  0.000000
