SD5060 (9.5%)
       31.       31.

  0.002230  0.006370
  0.008780  0.014430
  0.019540  0.022800
  0.034440  0.031040
  0.053430  0.038750
  0.076560  0.045650
  0.103830  0.051680
  0.135040  0.056830
  0.169920  0.061050
  0.208140  0.064330
  0.249310  0.066640
  0.293010  0.067930
  0.338820  0.068160
  0.386320  0.067300
  0.435080  0.065360
  0.484680  0.062390
  0.534650  0.058470
  0.584570  0.053700
  0.633960  0.048240
  0.682360  0.042270
  0.729290  0.036000
  0.774220  0.029670
  0.816640  0.023510
  0.856000  0.017780
  0.891730  0.012680
  0.923260  0.008380
  0.950020  0.005000
  0.971490  0.002560
  0.987200  0.001020
  0.996780  0.000230
  1.000000  0.000000

  0.002230  0.006370
  0.000030 -0.000660
  0.003340 -0.006560
  0.012440 -0.012080
  0.026410 -0.017290
  0.045070 -0.021780
  0.068350 -0.025380
  0.096130 -0.027950
  0.128290 -0.029380
  0.164750 -0.029730
  0.205240 -0.029200
  0.249350 -0.027950
  0.296610 -0.026110
  0.346510 -0.023840
  0.398450 -0.021260
  0.451830 -0.018510
  0.506020 -0.015680
  0.560340 -0.012880
  0.614160 -0.010200
  0.666800 -0.007720
  0.717600 -0.005510
  0.765920 -0.003610
  0.811130 -0.002060
  0.852650 -0.000890
  0.889920 -0.000080
  0.922440  0.000390
  0.949740  0.000570
  0.971440  0.000510
  0.987210  0.000320
  0.996790  0.000100
  1.000010  0.000000
