NACA 65(3)-218
       26.       26.

  0.000000  0.000000
  0.003880  0.013820
  0.006250  0.016730
  0.011100  0.021160
  0.023400  0.029320
  0.048190  0.041780
  0.073110  0.051530
  0.098090  0.059710
  0.148180  0.072760
  0.198350  0.082700
  0.248580  0.090230
  0.298840  0.095660
  0.349120  0.099160
  0.399420  0.100700
  0.449720  0.099960
  0.500000  0.096710
  0.550260  0.091030
  0.600470  0.083380
  0.650650  0.074250
  0.700730  0.063980
  0.750770  0.052900
  0.800740  0.041330
  0.850630  0.029670
  0.900460  0.018350
  0.950230  0.008050
  1.000000  0.000000

  0.000000  0.000000
  0.006120 -0.012820
  0.008750 -0.015330
  0.013900 -0.019020
  0.026600 -0.025600
  0.051810 -0.035460
  0.076890 -0.043050
  0.101910 -0.049370
  0.151820 -0.059300
  0.201650 -0.066760
  0.251420 -0.072330
  0.301160 -0.076220
  0.350880 -0.078560
  0.400580 -0.079280
  0.450280 -0.078060
  0.500000 -0.074650
  0.549740 -0.069130
  0.599530 -0.061960
  0.649370 -0.053650
  0.699270 -0.044540
  0.749230 -0.035000
  0.799260 -0.025410
  0.849370 -0.016210
  0.899540 -0.008010
  0.949770 -0.001730
  1.000000  0.000000
