NACA 16-018
       17.       17.

  0.000000  0.000000
  0.012500  0.019380
  0.025000  0.027080
  0.050000  0.037640
  0.075000  0.045480
  0.100000  0.051860
  0.150000  0.062020
  0.200000  0.069960
  0.300000  0.081260
  0.400000  0.087820
  0.500000  0.090000
  0.600000  0.087520
  0.700000  0.079040
  0.800000  0.062980
  0.900000  0.037760
  0.950000  0.021220
  1.000000  0.001800

  0.000000  0.000000
  0.012500 -0.019380
  0.025000 -0.027080
  0.050000 -0.037640
  0.075000 -0.045480
  0.100000 -0.051860
  0.150000 -0.062020
  0.200000 -0.069960
  0.300000 -0.081260
  0.400000 -0.087820
  0.500000 -0.090000
  0.600000 -0.087520
  0.700000 -0.079040
  0.800000 -0.062980
  0.900000 -0.037760
  0.950000 -0.021220
  1.000000 -0.001800
