EH 2.5/10
       50.       50.

  0.000000  0.000320
  0.000500  0.002630
  0.001000  0.003730
  0.001500  0.004610
  0.002000  0.005380
  0.002500  0.006090
  0.003000  0.006760
  0.004000  0.009010
  0.005000  0.009160
  0.007500  0.011710
  0.010000  0.013960
  0.012500  0.016020
  0.015000  0.017970
  0.020000  0.021580
  0.025000  0.024860
  0.035000  0.030640
  0.050000  0.037950
  0.075000  0.047730
  0.100000  0.055340
  0.125000  0.061300
  0.150000  0.065920
  0.175000  0.069400
  0.200000  0.071890
  0.225000  0.073530
  0.250000  0.074420
  0.275000  0.074650
  0.300000  0.074300
  0.350000  0.072160
  0.400000  0.068470
  0.450000  0.063650
  0.500000  0.058040
  0.550000  0.051900
  0.600000  0.045480
  0.650000  0.038940
  0.675000  0.035680
  0.700000  0.032450
  0.725000  0.029260
  0.750000  0.026130
  0.775000  0.023060
  0.800000  0.020050
  0.825000  0.017120
  0.850000  0.014300
  0.875000  0.011610
  0.900000  0.009050
  0.925000  0.006630
  0.950000  0.004320
  0.970000  0.002560
  0.980000  0.001690
  0.990000  0.000840
  1.000000  0.000000

  0.000000  0.000320
  0.000500 -0.001870
  0.001000 -0.002880
  0.001500 -0.003650
  0.002000 -0.004300
  0.002500 -0.004870
  0.003000 -0.005380
  0.004000 -0.006240
  0.005000 -0.006960
  0.007500 -0.008350
  0.010000 -0.009390
  0.012500 -0.010300
  0.015000 -0.011150
  0.020000 -0.012650
  0.025000 -0.013910
  0.035000 -0.015800
  0.050000 -0.017690
  0.075000 -0.019690
  0.100000 -0.020890
  0.125000 -0.021730
  0.150000 -0.022410
  0.175000 -0.023000
  0.200000 -0.023540
  0.225000 -0.024050
  0.250000 -0.024560
  0.275000 -0.025100
  0.300000 -0.025640
  0.350000 -0.026700
  0.400000 -0.027600
  0.450000 -0.028230
  0.500000 -0.028460
  0.550000 -0.028170
  0.600000 -0.027270
  0.650000 -0.025710
  0.675000 -0.024680
  0.700000 -0.023480
  0.720000 -0.022120
  0.750000 -0.020580
  0.775000 -0.018880
  0.800000 -0.017020
  0.825000 -0.015030
  0.850000 -0.012970
  0.875000 -0.010870
  0.900000 -0.008740
  0.925000 -0.006580
  0.950000 -0.004400
  0.970000 -0.002640
  0.980000 -0.001760
  0.990000 -0.000880
  1.000000  0.000000
