OAF117 AIRFOIL
       51.       51.

  0.000000  0.000000
  0.000987  0.006616
  0.003943  0.012913
  0.008856  0.018950
  0.015708  0.024804
  0.024472  0.030536
  0.035112  0.036169
  0.047586  0.041672
  0.061847  0.046965
  0.077836  0.051945
  0.095492  0.056512
  0.114743  0.060602
  0.135516  0.064196
  0.157726  0.067297
  0.181288  0.069895
  0.206107  0.071928
  0.232087  0.073288
  0.259123  0.073940
  0.287110  0.074182
  0.315938  0.073751
  0.345492  0.072779
  0.375655  0.071298
  0.406309  0.069353
  0.437333  0.066999
  0.468605  0.064296
  0.500000  0.061305
  0.531395  0.058087
  0.562667  0.054700
  0.593691  0.051198
  0.624345  0.047628
  0.654508  0.044033
  0.684062  0.040451
  0.712890  0.036917
  0.740877  0.033462
  0.767913  0.030118
  0.793893  0.026911
  0.818712  0.023871
  0.842274  0.021022
  0.864484  0.018387
  0.885257  0.015986
  0.904508  0.013832
  0.922164  0.011933
  0.938153  0.010292
  0.952414  0.008902
  0.964888  0.007753
  0.975528  0.006829
  0.984292  0.006111
  0.991144  0.005578
  0.996057  0.005213
  0.999013  0.005001
  1.000000  0.004931

  0.000000  0.000000
  0.000987 -0.005216
  0.003943 -0.010416
  0.008856 -0.015442
  0.015708 -0.020121
  0.024472 -0.024348
  0.035112 -0.028121
  0.047586 -0.031504
  0.061847 -0.034547
  0.077836 -0.037201
  0.095492 -0.039332
  0.114743 -0.040848
  0.135516 -0.041856
  0.157726 -0.042549
  0.181288 -0.042503
  0.206107 -0.042177
  0.232087 -0.041389
  0.259123 -0.040161
  0.287110 -0.038533
  0.315938 -0.036557
  0.345492 -0.034297
  0.375655 -0.031821
  0.406309 -0.029199
  0.437333 -0.026500
  0.468605 -0.023787
  0.500000 -0.021117
  0.531395 -0.018537
  0.562667 -0.016086
  0.593691 -0.013791
  0.624345 -0.011674
  0.654508 -0.009749
  0.684062 -0.008023
  0.712890 -0.006502
  0.740877 -0.005189
  0.767913 -0.004083
  0.793893 -0.003184
  0.818712 -0.002492
  0.842274 -0.002001
  0.864484 -0.001706
  0.885257 -0.001597
  0.904508 -0.001657
  0.922164 -0.001865
  0.938153 -0.002196
  0.952414 -0.002617
  0.964888 -0.003092
  0.975528 -0.003583
  0.984292 -0.004050
  0.991144 -0.004458
  0.996057 -0.004774
  0.999013 -0.004974
  1.000000 -0.005042
