AH 94-145
       63.       58.

  0.000000 -0.000390
  0.000130  0.002030
  0.000610  0.004620
  0.001470  0.007410
  0.002760  0.010460
  0.004580  0.013830
  0.007070  0.017580
  0.010410  0.021800
  0.014890  0.026570
  0.020800  0.031980
  0.028460  0.038030
  0.037990  0.044600
  0.049310  0.051440
  0.062200  0.058310
  0.076380  0.065060
  0.091620  0.071570
  0.107690  0.077780
  0.124440  0.083660
  0.141770  0.089170
  0.159560  0.094330
  0.177730  0.099110
  0.196210  0.103530
  0.214960  0.107570
  0.233930  0.111260
  0.253070  0.114570
  0.272330  0.117510
  0.291700  0.120080
  0.311130  0.122280
  0.330580  0.124100
  0.350010  0.125530
  0.369390  0.126570
  0.388680  0.127200
  0.407890  0.127420
  0.427040  0.127220
  0.446160  0.126580
  0.465250  0.125530
  0.484290  0.124040
  0.503240  0.122140
  0.522100  0.119810
  0.540890  0.117040
  0.559670  0.113840
  0.578540  0.110180
  0.597630  0.106060
  0.617070  0.101510
  0.636950  0.096540
  0.657300  0.091220
  0.678100  0.085630
  0.699220  0.079860
  0.720580  0.073980
  0.742090  0.068030
  0.763670  0.062070
  0.785240  0.056100
  0.806810  0.050140
  0.828380  0.044190
  0.849960  0.038240
  0.871540  0.032310
  0.893120  0.026410
  0.914690  0.020550
  0.936170  0.014770
  0.957150  0.009210
  0.976090  0.004270
  0.990430  0.000650
  1.000200 -0.001610

  0.000000 -0.000390
  0.000250 -0.002780
  0.000970 -0.005170
  0.002210 -0.007460
  0.003990 -0.009580
  0.006320 -0.011500
  0.009210 -0.013240
  0.012730 -0.014870
  0.017070 -0.016440
  0.022530 -0.018000
  0.029560 -0.019530
  0.038760 -0.020980
  0.050860 -0.022200
  0.066510 -0.023080
  0.085660 -0.023620
  0.106870 -0.023930
  0.128690 -0.024010
  0.150890 -0.023910
  0.173390 -0.023680
  0.195970 -0.023370
  0.218550 -0.022970
  0.241090 -0.022510
  0.263570 -0.022000
  0.286010 -0.021440
  0.308410 -0.020850
  0.330790 -0.020230
  0.353150 -0.019590
  0.375490 -0.018910
  0.397820 -0.018210
  0.420150 -0.017490
  0.442470 -0.016730
  0.464790 -0.015950
  0.487110 -0.015130
  0.509430 -0.014290
  0.531750 -0.013420
  0.554070 -0.012510
  0.576390 -0.011570
  0.598710 -0.010600
  0.621030 -0.009620
  0.643350 -0.008640
  0.665670 -0.007670
  0.688000 -0.006730
  0.710360 -0.005820
  0.732790 -0.004940
  0.755300 -0.004070
  0.777760 -0.003200
  0.800180 -0.002290
  0.822640 -0.001350
  0.844940 -0.000440
  0.866810  0.000400
  0.888060  0.001080
  0.908480  0.001510
  0.927960  0.001610
  0.946370  0.001290
  0.963390  0.000520
  0.978340 -0.000640
  0.990470 -0.002040
  0.999800 -0.003570
