AH 93-K-131/15
       62.       59.

  0.000000 -0.000080
  0.000510  0.003000
  0.002060  0.006320
  0.004620  0.010040
  0.008470  0.014340
  0.014120  0.019460
  0.022260  0.025500
  0.033310  0.032310
  0.046870  0.039380
  0.062140  0.046220
  0.078500  0.052620
  0.095550  0.058550
  0.113030  0.063990
  0.130830  0.068960
  0.148900  0.073490
  0.167180  0.077620
  0.185630  0.081370
  0.204210  0.084750
  0.222900  0.087780
  0.241690  0.090480
  0.260580  0.092860
  0.279540  0.094940
  0.298560  0.096730
  0.317620  0.098230
  0.336700  0.099450
  0.355810  0.100400
  0.374930  0.101060
  0.394070  0.101440
  0.413230  0.101550
  0.432380  0.101390
  0.451530  0.100960
  0.470650  0.100250
  0.489760  0.099270
  0.508850  0.098010
  0.527910  0.096470
  0.546910  0.094640
  0.565850  0.092520
  0.584710  0.090080
  0.603480  0.087320
  0.622170  0.084230
  0.640770  0.080780
  0.659270  0.076980
  0.677700  0.072810
  0.696070  0.068270
  0.714430  0.063370
  0.732810  0.058140
  0.751180  0.052630
  0.769600  0.046860
  0.787890  0.040940
  0.805860  0.035010
  0.823120  0.029370
  0.839980  0.023440
  0.854930  0.018830
  0.870490  0.016140
  0.888720  0.013380
  0.907620  0.010630
  0.926790  0.007900
  0.945620  0.005400
  0.963570  0.003260
  0.979310  0.001730
  0.991520  0.000900
  1.000000  0.000600

  0.000000 -0.000080
  0.000620 -0.003050
  0.002500 -0.005960
  0.005610 -0.008620
  0.010050 -0.011060
  0.016220 -0.013290
  0.024920 -0.015390
  0.037120 -0.017420
  0.052790 -0.019330
  0.070550 -0.021000
  0.089250 -0.022370
  0.108380 -0.023480
  0.127750 -0.024410
  0.147240 -0.025210
  0.166790 -0.025890
  0.186380 -0.026480
  0.206010 -0.026970
  0.225670 -0.027400
  0.245370 -0.027760
  0.265090 -0.028070
  0.284830 -0.028350
  0.304590 -0.028590
  0.324340 -0.028810
  0.344100 -0.028990
  0.363860 -0.029150
  0.383630 -0.029280
  0.403400 -0.029370
  0.423180 -0.029450
  0.442960 -0.029510
  0.462730 -0.029550
  0.482490 -0.029560
  0.502240 -0.029540
  0.521960 -0.029470
  0.541680 -0.029360
  0.561400 -0.029200
  0.581130 -0.029000
  0.600870 -0.028760
  0.620590 -0.028490
  0.640270 -0.028160
  0.659950 -0.027760
  0.679620 -0.027300
  0.699280 -0.026790
  0.718930 -0.026200
  0.738540 -0.025530
  0.758150 -0.024780
  0.777750 -0.023940
  0.797340 -0.023010
  0.816910 -0.022000
  0.836390 -0.020880
  0.855770 -0.019630
  0.875060 -0.018190
  0.894220 -0.016560
  0.913090 -0.014700
  0.931430 -0.012490
  0.949150 -0.009750
  0.966200 -0.006550
  0.981000 -0.003720
  0.991920 -0.001440
  1.000000 -0.000090
