AH 80-129
       49.       49.

  0.000000  0.000000
  0.001070  0.003300
  0.004280  0.007560
  0.009610  0.012690
  0.017040  0.018480
  0.026530  0.024790
  0.038060  0.031390
  0.051560  0.038160
  0.066990  0.044990
  0.084270  0.051810
  0.103320  0.058530
  0.124080  0.065080
  0.146450  0.071390
  0.170330  0.077400
  0.195620  0.083030
  0.222210  0.088180
  0.250000  0.092770
  0.278860  0.096700
  0.308660  0.099930
  0.339280  0.102400
  0.370590  0.104080
  0.402450  0.104900
  0.434740  0.104820
  0.467300  0.103830
  0.500000  0.101910
  0.532700  0.099090
  0.565260  0.095350
  0.597550  0.090720
  0.629410  0.085240
  0.660720  0.078970
  0.691340  0.072000
  0.721140  0.064480
  0.750000  0.056660
  0.777790  0.048900
  0.804380  0.041490
  0.829670  0.034650
  0.853550  0.028480
  0.875920  0.022990
  0.896680  0.018170
  0.915730  0.014040
  0.933010  0.010570
  0.948440  0.007740
  0.961940  0.005500
  0.973470  0.003800
  0.982960  0.002580
  0.990390  0.001800
  0.995720  0.001250
  0.998930  0.000950
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.002710
  0.004280 -0.005170
  0.009610 -0.007690
  0.017040 -0.010170
  0.026530 -0.012380
  0.038060 -0.014290
  0.051560 -0.015920
  0.066990 -0.017340
  0.084270 -0.018600
  0.103320 -0.019710
  0.124080 -0.020660
  0.146450 -0.021470
  0.170330 -0.022160
  0.195620 -0.022730
  0.222210 -0.023180
  0.250000 -0.023520
  0.278860 -0.023750
  0.308660 -0.023890
  0.339280 -0.023930
  0.370590 -0.023880
  0.402450 -0.023750
  0.434740 -0.023540
  0.467300 -0.023250
  0.500000 -0.022870
  0.532700 -0.022410
  0.565260 -0.021860
  0.597550 -0.021210
  0.629410 -0.020460
  0.660720 -0.019610
  0.691340 -0.018620
  0.721140 -0.017490
  0.750000 -0.016190
  0.777790 -0.014760
  0.804380 -0.013230
  0.829670 -0.011680
  0.853550 -0.010150
  0.875920 -0.008670
  0.896680 -0.007300
  0.915730 -0.006050
  0.933010 -0.004950
  0.948440 -0.004000
  0.961940 -0.003180
  0.973470 -0.002500
  0.982960 -0.001950
  0.990390 -0.001560
  0.995720 -0.001180
  0.998930 -0.000930
  1.000000  0.000000
