NACA 66-209
       26.       26.

  0.000000  0.000000
  0.004420  0.007350
  0.006860  0.008920
  0.011790  0.011350
  0.024200  0.015520
  0.049120  0.021940
  0.074090  0.027050
  0.099080  0.031410
  0.149120  0.038500
  0.199210  0.043960
  0.249310  0.048210
  0.299440  0.051450
  0.349570  0.053780
  0.399710  0.055280
  0.449860  0.055940
  0.500000  0.055780
  0.550140  0.054760
  0.600270  0.052750
  0.650380  0.049120
  0.700460  0.044000
  0.750500  0.037720
  0.800500  0.030580
  0.850440  0.022830
  0.900340  0.014770
  0.950180  0.006900
  1.000000  0.000000

  0.000000  0.000000
  0.005580 -0.006350
  0.008140 -0.007520
  0.013210 -0.009210
  0.025800 -0.011800
  0.050880 -0.015620
  0.075910 -0.018570
  0.100920 -0.021070
  0.150880 -0.025040
  0.200790 -0.028040
  0.250690 -0.030310
  0.300560 -0.032010
  0.350430 -0.033180
  0.400290 -0.033860
  0.450140 -0.034040
  0.500000 -0.033720
  0.549860 -0.032860
  0.599730 -0.031330
  0.649620 -0.028520
  0.699540 -0.024560
  0.749500 -0.019820
  0.799800 -0.014660
  0.849560 -0.009370
  0.899650 -0.004430
  0.949820 -0.000580
  1.000000  0.000000
