NACA 64(3)-618
       26.       26.

  0.000000  0.000000
  0.001500  0.015340
  0.003590  0.018850
  0.008050  0.024520
  0.019820  0.035180
  0.044170  0.050930
  0.068950  0.063120
  0.093950  0.073220
  0.144270  0.089370
  0.194860  0.101530
  0.245600  0.110650
  0.296450  0.116980
  0.347350  0.120650
  0.398270  0.121630
  0.449170  0.119150
  0.500000  0.114230
  0.550710  0.107300
  0.601290  0.098700
  0.651710  0.088700
  0.701960  0.077540
  0.752030  0.065440
  0.801910  0.052700
  0.851610  0.039630
  0.901150  0.026460
  0.950560  0.013440
  1.000000  0.000000

  0.000000  0.000000
  0.008500 -0.012340
  0.011410 -0.014650
  0.016950 -0.018100
  0.030180 -0.024020
  0.055830 -0.031970
  0.081050 -0.037690
  0.106050 -0.042200
  0.155730 -0.048990
  0.205140 -0.053770
  0.254400 -0.056950
  0.303550 -0.058660
  0.352650 -0.058850
  0.401730 -0.057370
  0.450830 -0.053450
  0.500000 -0.048050
  0.549290 -0.041600
  0.598710 -0.034440
  0.648290 -0.026900
  0.698040 -0.019220
  0.747970 -0.011740
  0.798090 -0.004940
  0.848390  0.000750
  0.898850  0.004560
  0.949440  0.005520
  1.000000  0.000000
