NACA 65(1)-412
       26.       26.

  0.000000  0.000000
  0.003470  0.010100
  0.005800  0.012360
  0.010590  0.015880
  0.022830  0.022340
  0.047570  0.032270
  0.072470  0.040100
  0.097460  0.046720
  0.147570  0.057410
  0.197810  0.065620
  0.248810  0.071930
  0.298460  0.076580
  0.348840  0.079710
  0.399230  0.081390
  0.449620  0.081390
  0.500000  0.079630
  0.550350  0.076020
  0.600640  0.070850
  0.650860  0.064400
  0.701010  0.056860
  0.751070  0.048470
  0.801030  0.039350
  0.850900  0.029740
  0.900660  0.019790
  0.950330  0.009860
  1.000000  0.000000

  0.000000  0.000000
  0.006530 -0.008100
  0.009200 -0.009560
  0.014410 -0.011600
  0.027170 -0.014900
  0.052430 -0.019630
  0.077530 -0.023140
  0.102540 -0.026040
  0.152430 -0.030490
  0.202190 -0.033780
  0.251890 -0.036130
  0.301540 -0.037700
  0.351160 -0.038510
  0.400770 -0.038550
  0.450380 -0.037590
  0.500000 -0.035510
  0.549650 -0.032220
  0.599360 -0.028010
  0.649140 -0.023200
  0.698990 -0.017980
  0.748930 -0.012670
  0.798970 -0.007510
  0.849100 -0.002820
  0.899340  0.000890
  0.949670  0.002780
  1.000000  0.000000
