S9037 (9%)
       63.       59.

  0.000720  0.002940
  0.002470  0.006650
  0.005220  0.010660
  0.008960  0.014830
  0.013750  0.019110
  0.019590  0.023470
  0.026450  0.027880
  0.034290  0.032250
  0.043160  0.036540
  0.053060  0.040750
  0.063940  0.044850
  0.075780  0.048800
  0.088580  0.052550
  0.102360  0.056110
  0.117050  0.059470
  0.132620  0.062610
  0.149050  0.065480
  0.166340  0.068100
  0.184420  0.070470
  0.203250  0.072550
  0.222800  0.074320
  0.243060  0.075800
  0.263970  0.076990
  0.285450  0.077880
  0.307500  0.078450
  0.330070  0.078720
  0.353100  0.078700
  0.376530  0.078390
  0.400300  0.077790
  0.424380  0.076910
  0.448690  0.075770
  0.473170  0.074360
  0.497760  0.072680
  0.522440  0.070750
  0.547120  0.068610
  0.571730  0.066240
  0.596230  0.063660
  0.620590  0.060890
  0.644710  0.057970
  0.668540  0.054910
  0.692010  0.051730
  0.715080  0.048440
  0.737680  0.045090
  0.759720  0.041680
  0.781170  0.038230
  0.801990  0.034770
  0.822120  0.031340
  0.841460  0.027970
  0.859980  0.024650
  0.877650  0.021440
  0.894400  0.018390
  0.910160  0.015530
  0.924830  0.012880
  0.938330  0.010450
  0.950650  0.008220
  0.961730  0.006230
  0.971530  0.004490
  0.979990  0.003030
  0.987050  0.001860
  0.992640  0.000990
  0.996700  0.000410
  0.999170  0.000090
  1.000000  0.000000

  0.000720  0.002940
  0.000010 -0.000300
  0.000660 -0.002810
  0.002980 -0.004850
  0.006840 -0.006810
  0.012110 -0.008630
  0.018740 -0.010280
  0.026700 -0.011730
  0.035980 -0.012990
  0.046570 -0.014030
  0.058440 -0.014870
  0.071580 -0.015510
  0.085950 -0.015950
  0.101530 -0.016200
  0.118290 -0.016270
  0.136180 -0.016170
  0.155160 -0.015920
  0.175190 -0.015520
  0.196210 -0.015000
  0.218170 -0.014370
  0.241010 -0.013650
  0.264660 -0.012850
  0.289060 -0.011990
  0.314130 -0.011090
  0.339800 -0.010160
  0.365980 -0.009220
  0.392600 -0.008280
  0.419570 -0.007340
  0.446810 -0.006430
  0.474240 -0.005530
  0.501760 -0.004680
  0.529310 -0.003850
  0.556780 -0.003080
  0.584090 -0.002350
  0.611170 -0.001680
  0.637930 -0.001060
  0.664270 -0.000500
  0.690130  0.000000
  0.715430  0.000430
  0.740070  0.000810
  0.763990  0.001130
  0.787110  0.001400
  0.809370  0.001620
  0.830700  0.001780
  0.851040  0.001890
  0.870320  0.001940
  0.888460  0.001930
  0.905420  0.001880
  0.921120  0.001800
  0.935540  0.001690
  0.948630  0.001560
  0.960350  0.001400
  0.970650  0.001200
  0.979480  0.000970
  0.986780  0.000720
  0.992530  0.000470
  0.996670  0.000240
  0.999160  0.000070
  1.000000  0.000000
