AH 93-K-130/15
       61.       60.

  0.000040  0.000510
  0.000790  0.003710
  0.002480  0.007160
  0.005200  0.010920
  0.009240  0.015140
  0.015040  0.020040
  0.023230  0.025790
  0.034230  0.032310
  0.047760  0.039150
  0.063090  0.045850
  0.079570  0.052170
  0.096770  0.058040
  0.114480  0.063450
  0.132550  0.068410
  0.150910  0.072950
  0.169510  0.077090
  0.188300  0.080850
  0.207250  0.084270
  0.226300  0.087340
  0.245440  0.090080
  0.264670  0.092490
  0.283960  0.094580
  0.303330  0.096360
  0.322780  0.097840
  0.342270  0.099050
  0.361790  0.099970
  0.381320  0.100620
  0.400880  0.100990
  0.420440  0.101090
  0.439990  0.100920
  0.459520  0.100460
  0.479060  0.099730
  0.498600  0.098710
  0.518130  0.097430
  0.537640  0.095890
  0.557110  0.094070
  0.576520  0.091980
  0.595840  0.089610
  0.615060  0.086930
  0.634150  0.083950
  0.653060  0.080630
  0.671700  0.076960
  0.690060  0.072850
  0.708220  0.068260
  0.726300  0.063130
  0.744460  0.057470
  0.762830  0.051320
  0.781510  0.044800
  0.800290  0.038160
  0.818590  0.031850
  0.836210  0.026220
  0.852690  0.021860
  0.871390  0.017720
  0.889250  0.014300
  0.907780  0.011250
  0.926630  0.008400
  0.945300  0.005780
  0.963180  0.003550
  0.978970  0.001940
  0.991380  0.001030
  1.000000  0.000640

  0.000040  0.000510
  0.000010 -0.000310
  0.000750 -0.003320
  0.002820 -0.006300
  0.006180 -0.008990
  0.010980 -0.011460
  0.017700 -0.013710
  0.027230 -0.015830
  0.040390 -0.017860
  0.056720 -0.019740
  0.074740 -0.021340
  0.093490 -0.022630
  0.112590 -0.023700
  0.131880 -0.024590
  0.151280 -0.025360
  0.170720 -0.026010
  0.190190 -0.026580
  0.209700 -0.027050
  0.229240 -0.027460
  0.248810 -0.027810
  0.268400 -0.028120
  0.288020 -0.028390
  0.307640 -0.028630
  0.327260 -0.028840
  0.346880 -0.029010
  0.366510 -0.029160
  0.386140 -0.029290
  0.405780 -0.029380
  0.425420 -0.029460
  0.445070 -0.029510
  0.464710 -0.029550
  0.484330 -0.029560
  0.503940 -0.029530
  0.523530 -0.029460
  0.543110 -0.029350
  0.562710 -0.029190
  0.582310 -0.028990
  0.601910 -0.028750
  0.621500 -0.028470
  0.641050 -0.028140
  0.660600 -0.027740
  0.680140 -0.027290
  0.699680 -0.026770
  0.719190 -0.026190
  0.738690 -0.025520
  0.758170 -0.024780
  0.777640 -0.023940
  0.797110 -0.023020
  0.816560 -0.022010
  0.835930 -0.020910
  0.855200 -0.019660
  0.874390 -0.018240
  0.893460 -0.016630
  0.912250 -0.014790
  0.930570 -0.012600
  0.948180 -0.009920
  0.965080 -0.006760
  0.980040 -0.003920
  0.991610 -0.001500
  1.000000 -0.000080
