NACA 65(3)-618
       26.       26.

  0.000000  0.000000
  0.001720  0.014460
  0.003850  0.017760
  0.008390  0.022930
  0.020260  0.032680
  0.044620  0.047760
  0.069360  0.059710
  0.094310  0.069780
  0.144550  0.086020
  0.195060  0.098480
  0.245740  0.108030
  0.296520  0.115040
  0.347380  0.119720
  0.398260  0.122100
  0.449150  0.121860
  0.500000  0.118770
  0.550770  0.112930
  0.601410  0.104790
  0.651890  0.094820
  0.702190  0.083380
  0.752300  0.070750
  0.802200  0.057190
  0.851890  0.043060
  0.901380  0.028630
  0.950680  0.014330
  1.000000  0.000000

  0.000000  0.000000
  0.008280 -0.011460
  0.011150 -0.013560
  0.016610 -0.016510
  0.029740 -0.021520
  0.055380 -0.028800
  0.080640 -0.034270
  0.105690 -0.038760
  0.155450 -0.045640
  0.204940 -0.050720
  0.254260 -0.054330
  0.303480 -0.056720
  0.352620 -0.057920
  0.401740 -0.057840
  0.450850 -0.056160
  0.500000 -0.052590
  0.549230 -0.047230
  0.598590 -0.040530
  0.648110 -0.033020
  0.697810 -0.025060
  0.747700 -0.017050
  0.797800 -0.009430
  0.848110 -0.002680
  0.898620  0.002390
  0.949320  0.004630
  1.000000  0.000000
