E222  (10.17%)
       31.       31.

  0.003820  0.007920
  0.012030  0.015780
  0.024610  0.023960
  0.041490  0.032100
  0.062580  0.039940
  0.087740  0.047280
  0.116780  0.053950
  0.149470  0.059810
  0.185550  0.064730
  0.224710  0.068640
  0.266620  0.071470
  0.310910  0.073190
  0.357190  0.073780
  0.405030  0.073260
  0.453990  0.071670
  0.503610  0.069080
  0.553420  0.065580
  0.602920  0.061270
  0.651620  0.056300
  0.699010  0.050790
  0.744580  0.044920
  0.787840  0.038830
  0.828300  0.032690
  0.865470  0.026660
  0.898890  0.020920
  0.928120  0.015600
  0.952700  0.010780
  0.972410  0.006450
  0.987220  0.002910
  0.996690  0.000710
  1.000000  0.000000

  0.003820  0.007920
  0.000070  0.001000
  0.001990 -0.004700
  0.009900 -0.009930
  0.022910 -0.014990
  0.040830 -0.019530
  0.063510 -0.023400
  0.090780 -0.026480
  0.122430 -0.028720
  0.158210 -0.030100
  0.197790 -0.030640
  0.240830 -0.030350
  0.286900 -0.029320
  0.335570 -0.027600
  0.386340 -0.025310
  0.438670 -0.022540
  0.492010 -0.019420
  0.545780 -0.016080
  0.599350 -0.012660
  0.652120 -0.009280
  0.703440 -0.006090
  0.752680 -0.003200
  0.799200 -0.000750
  0.842380  0.001180
  0.881570  0.002490
  0.916180  0.003130
  0.945600  0.003060
  0.969160  0.002340
  0.986250  0.001280
  0.996560  0.000360
  1.000000  0.000000
