NACA 66(2)-415
       26.       26.

  0.000000  0.000000
  0.003140  0.012060
  0.005440  0.014670
  0.010190  0.018730
  0.022410  0.025920
  0.047110  0.037180
  0.071990  0.046170
  0.096960  0.053810
  0.147090  0.066240
  0.197360  0.075810
  0.247710  0.083290
  0.298120  0.088970
  0.348570  0.093090
  0.399040  0.095710
  0.449520  0.096850
  0.500000  0.096560
  0.550460  0.094730
  0.600900  0.091000
  0.651260  0.084310
  0.701500  0.075180
  0.751620  0.064190
  0.801590  0.051870
  0.851390  0.038720
  0.901040  0.025190
  0.950530  0.011960
  1.000000  0.000000

  0.000000  0.000000
  0.006860 -0.010060
  0.009560 -0.011870
  0.014810 -0.014450
  0.027590 -0.018480
  0.052890 -0.024540
  0.078010 -0.029210
  0.103040 -0.033130
  0.152910 -0.039320
  0.202640 -0.043970
  0.252290 -0.047490
  0.301880 -0.050090
  0.351430 -0.051890
  0.400960 -0.052870
  0.450480 -0.053050
  0.500000 -0.052440
  0.549540 -0.050930
  0.599100 -0.048160
  0.648740 -0.043110
  0.698500 -0.036300
  0.748380 -0.028390
  0.798410 -0.020030
  0.848610 -0.011800
  0.898960 -0.004510
  0.949470  0.000680
  1.000000  0.000000
