AH 79-K-132/20
       49.       49.

  0.000000  0.000000
  0.001070  0.003630
  0.004280  0.008510
  0.009610  0.014350
  0.017040  0.020850
  0.026530  0.027550
  0.038060  0.034240
  0.051560  0.041320
  0.066990  0.048680
  0.084270  0.055600
  0.103320  0.062310
  0.124080  0.068710
  0.146450  0.074720
  0.170330  0.080290
  0.195620  0.085330
  0.222210  0.089820
  0.250000  0.093720
  0.278860  0.096980
  0.308660  0.099530
  0.339280  0.101360
  0.370590  0.102450
  0.402450  0.102800
  0.434740  0.102400
  0.467300  0.101240
  0.500000  0.099310
  0.532700  0.096630
  0.565260  0.093160
  0.597550  0.088870
  0.629410  0.083700
  0.660720  0.077410
  0.691340  0.070070
  0.721140  0.061750
  0.750000  0.053200
  0.777790  0.044630
  0.804380  0.037090
  0.829670  0.031870
  0.853550  0.027640
  0.875920  0.023890
  0.896680  0.020570
  0.915730  0.017320
  0.933010  0.014340
  0.948440  0.011560
  0.961940  0.009060
  0.973470  0.006790
  0.982960  0.004750
  0.990390  0.003000
  0.995720  0.001520
  0.998930  0.000410
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.003440
  0.004280 -0.006980
  0.009610 -0.010230
  0.017040 -0.013390
  0.026530 -0.016070
  0.038060 -0.018270
  0.051560 -0.020090
  0.066990 -0.021390
  0.084270 -0.022690
  0.103320 -0.023840
  0.124080 -0.024780
  0.146450 -0.025610
  0.170330 -0.026320
  0.195620 -0.026950
  0.222210 -0.027480
  0.250000 -0.027950
  0.278860 -0.028320
  0.308660 -0.028640
  0.339280 -0.028890
  0.370590 -0.029080
  0.402450 -0.029200
  0.434740 -0.029240
  0.467300 -0.029150
  0.500000 -0.028890
  0.532700 -0.028430
  0.565260 -0.027780
  0.597550 -0.026920
  0.629410 -0.025830
  0.660720 -0.024560
  0.691340 -0.023020
  0.721140 -0.021340
  0.750000 -0.019330
  0.777790 -0.017040
  0.804380 -0.014670
  0.829670 -0.011770
  0.853550 -0.008860
  0.875920 -0.006020
  0.896680 -0.003470
  0.915730 -0.001590
  0.933010 -0.000260
  0.948440  0.000550
  0.961940  0.000900
  0.973470  0.000830
  0.982960  0.000630
  0.990390  0.000230
  0.995720 -0.000150
  0.998930 -0.000100
  1.000000  0.000000
