E474  (14.09%)
       31.       31.

  0.000000  0.000000
  0.002800  0.009550
  0.010540  0.019990
  0.022460  0.030480
  0.038410  0.040490
  0.058260  0.049580
  0.081930  0.057370
  0.109390  0.063510
  0.140690  0.067780
  0.175900  0.070020
  0.215170  0.070420
  0.258280  0.069510
  0.304640  0.067600
  0.353670  0.064890
  0.404740  0.061540
  0.457210  0.057690
  0.510430  0.053460
  0.563740  0.048950
  0.616470  0.044270
  0.667980  0.039490
  0.717600  0.034690
  0.764720  0.029930
  0.808740  0.025240
  0.849080  0.020550
  0.885440  0.015740
  0.917770  0.011060
  0.945580  0.006990
  0.968270  0.003720
  0.985390  0.001420
  0.996250  0.000280
  1.000000  0.000000

  0.000000  0.000000
  0.002800 -0.009550
  0.010540 -0.019990
  0.022460 -0.030480
  0.038410 -0.040490
  0.058260 -0.049580
  0.081930 -0.057370
  0.109390 -0.063510
  0.140690 -0.067780
  0.175900 -0.070020
  0.215170 -0.070420
  0.258280 -0.069510
  0.304640 -0.067600
  0.353670 -0.064890
  0.404740 -0.061540
  0.457210 -0.057690
  0.510430 -0.053460
  0.563740 -0.048950
  0.616470 -0.044270
  0.667980 -0.039490
  0.717600 -0.034690
  0.764720 -0.029930
  0.808740 -0.025240
  0.849080 -0.020550
  0.885440 -0.015740
  0.917770 -0.011060
  0.945580 -0.006990
  0.968270 -0.003720
  0.985390 -0.001420
  0.996250 -0.000280
  1.000000  0.000000
