NACA 64-208
       26.       26.

  0.000000  0.000000
  0.004450  0.007060
  0.006880  0.008620
  0.011800  0.011100
  0.024210  0.015490
  0.049120  0.021890
  0.074100  0.026810
  0.099090  0.030890
  0.149150  0.037410
  0.199240  0.042320
  0.249350  0.045980
  0.299480  0.048560
  0.349610  0.050090
  0.399740  0.050630
  0.449880  0.049780
  0.500000  0.047870
  0.550110  0.045060
  0.600200  0.041520
  0.650270  0.037330
  0.700310  0.032630
  0.750320  0.027490
  0.800310  0.022000
  0.850270  0.016340
  0.900190  0.010670
  0.950100  0.005220
  1.000000  0.000000

  0.000000  0.000000
  0.005550 -0.006060
  0.008120 -0.007220
  0.013200 -0.008960
  0.025790 -0.011770
  0.050880 -0.015570
  0.075900 -0.018330
  0.100910 -0.020550
  0.150850 -0.023950
  0.200760 -0.026400
  0.250650 -0.028080
  0.300520 -0.029120
  0.350390 -0.029490
  0.400260 -0.029210
  0.450120 -0.027880
  0.500000 -0.025810
  0.549890 -0.023160
  0.599800 -0.020100
  0.649730 -0.016730
  0.699690 -0.013190
  0.749680 -0.009590
  0.799690 -0.006080
  0.849730 -0.002880
  0.899810 -0.000330
  0.949900  0.001100
  1.000000  0.000000
