AH 63-K-127/24
       49.       49.

  0.000000  0.000000
  0.001070  0.003940
  0.004280  0.008790
  0.009610  0.014300
  0.017040  0.020210
  0.026530  0.026310
  0.038060  0.032530
  0.051560  0.038760
  0.066990  0.044900
  0.084270  0.050910
  0.103320  0.056850
  0.124080  0.062730
  0.146450  0.068480
  0.170330  0.074050
  0.195620  0.079340
  0.222210  0.084280
  0.250000  0.088740
  0.278860  0.092620
  0.308660  0.095870
  0.339280  0.098390
  0.370590  0.100100
  0.402450  0.100960
  0.434740  0.100980
  0.467300  0.100210
  0.500000  0.098660
  0.532700  0.096310
  0.565260  0.093140
  0.597550  0.089130
  0.629410  0.084180
  0.660720  0.078100
  0.691340  0.070880
  0.721140  0.062370
  0.750000  0.053300
  0.777790  0.045320
  0.804380  0.039190
  0.829670  0.034770
  0.853550  0.030850
  0.875920  0.026670
  0.896680  0.022540
  0.915730  0.018650
  0.933010  0.015210
  0.948440  0.012220
  0.961940  0.009560
  0.973470  0.007090
  0.982960  0.004890
  0.990390  0.003110
  0.995720  0.001800
  0.998930  0.000800
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.003100
  0.004280 -0.005650
  0.009610 -0.007950
  0.017040 -0.010210
  0.026530 -0.012450
  0.038060 -0.014590
  0.051560 -0.016550
  0.066990 -0.018300
  0.084270 -0.019860
  0.103320 -0.021250
  0.124080 -0.022460
  0.146450 -0.023470
  0.170330 -0.024260
  0.195620 -0.024850
  0.222210 -0.025270
  0.250000 -0.025590
  0.278860 -0.025850
  0.308660 -0.026080
  0.339280 -0.026260
  0.370590 -0.026300
  0.402450 -0.026110
  0.434740 -0.025680
  0.467300 -0.025080
  0.500000 -0.024320
  0.532700 -0.023350
  0.565260 -0.022170
  0.597550 -0.020870
  0.629410 -0.019360
  0.660720 -0.017560
  0.691340 -0.015390
  0.721140 -0.012980
  0.750000 -0.010500
  0.777790 -0.007950
  0.804380 -0.005400
  0.829670 -0.002920
  0.853550 -0.000710
  0.875920  0.000980
  0.896680  0.002080
  0.915730  0.002660
  0.933010  0.002850
  0.948440  0.002720
  0.961940  0.002280
  0.973470  0.001740
  0.982960  0.001220
  0.990390  0.000770
  0.995720  0.000300
  0.998930  0.000100
  1.000000  0.000000
