AH 93-157
       60.       61.

  0.000920  0.004700
  0.002560  0.008240
  0.005140  0.012230
  0.008930  0.016880
  0.014430  0.022440
  0.022230  0.029060
  0.032560  0.036560
  0.045010  0.044400
  0.058940  0.052070
  0.073880  0.059340
  0.089600  0.066120
  0.105950  0.072410
  0.122810  0.078230
  0.140110  0.083560
  0.157770  0.088420
  0.175730  0.092830
  0.193950  0.096790
  0.212370  0.100330
  0.230980  0.103470
  0.249730  0.106210
  0.268630  0.108580
  0.287660  0.110590
  0.306790  0.112260
  0.325980  0.113580
  0.345230  0.114580
  0.364530  0.115250
  0.383860  0.115610
  0.403200  0.115650
  0.422560  0.115380
  0.441910  0.114790
  0.461260  0.113910
  0.480580  0.112710
  0.499870  0.111200
  0.519120  0.109380
  0.538310  0.107250
  0.557460  0.104800
  0.576530  0.102040
  0.595560  0.098940
  0.614520  0.095530
  0.633450  0.091790
  0.652360  0.087730
  0.671280  0.083360
  0.690250  0.078690
  0.709320  0.073740
  0.728550  0.068560
  0.747970  0.063180
  0.767580  0.057690
  0.787250  0.052180
  0.806860  0.046720
  0.826410  0.041340
  0.845920  0.036060
  0.865400  0.030890
  0.884860  0.025840
  0.904300  0.020920
  0.923710  0.016120
  0.943020  0.011490
  0.961800  0.007110
  0.978590  0.003260
  0.991240  0.000180
  1.000000 -0.002210

  0.000920  0.004700
  0.000100  0.001470
  0.000100 -0.001550
  0.000940 -0.004620
  0.002750 -0.007650
  0.005570 -0.010580
  0.009530 -0.013410
  0.014910 -0.016210
  0.022190 -0.019060
  0.032050 -0.021970
  0.044890 -0.024860
  0.060420 -0.027530
  0.077770 -0.029870
  0.096180 -0.031850
  0.115210 -0.033510
  0.134630 -0.034910
  0.154290 -0.036090
  0.174130 -0.037100
  0.194100 -0.037960
  0.214140 -0.038690
  0.234260 -0.039300
  0.254420 -0.039810
  0.274620 -0.040220
  0.294860 -0.040550
  0.315140 -0.040810
  0.335440 -0.040990
  0.355770 -0.041120
  0.376120 -0.041180
  0.396490 -0.041200
  0.416870 -0.041170
  0.437250 -0.041090
  0.457620 -0.040970
  0.477990 -0.040800
  0.498340 -0.040580
  0.518670 -0.040300
  0.538970 -0.039960
  0.559230 -0.039550
  0.579460 -0.039060
  0.599650 -0.038480
  0.619790 -0.037810
  0.639880 -0.037030
  0.659910 -0.036130
  0.679870 -0.035090
  0.699740 -0.033890
  0.719520 -0.032530
  0.739170 -0.030970
  0.758660 -0.029190
  0.777950 -0.027150
  0.797030 -0.024820
  0.815950 -0.022130
  0.834910 -0.019050
  0.854110 -0.015620
  0.873500 -0.012010
  0.892320 -0.008680
  0.910480 -0.005930
  0.928140 -0.003850
  0.945410 -0.002520
  0.962260 -0.001960
  0.978220 -0.002060
  0.991050 -0.002250
  1.000000 -0.002210
