S8025 (8%)
       61.       61.

  0.000250  0.001410
  0.001630  0.004580
  0.004060  0.007960
  0.007520  0.011360
  0.012100  0.014720
  0.017810  0.018060
  0.024610  0.021340
  0.032440  0.024480
  0.041370  0.027430
  0.051410  0.030210
  0.062500  0.032800
  0.074620  0.035160
  0.087790  0.037250
  0.102030  0.039080
  0.117290  0.040670
  0.133500  0.041990
  0.150690  0.043010
  0.168840  0.043770
  0.187910  0.044280
  0.207820  0.044540
  0.228570  0.044520
  0.250130  0.044260
  0.272440  0.043790
  0.295430  0.043110
  0.319060  0.042230
  0.343270  0.041180
  0.368010  0.039970
  0.393180  0.038620
  0.418730  0.037140
  0.444610  0.035550
  0.470730  0.033870
  0.497020  0.032120
  0.523390  0.030310
  0.549800  0.028450
  0.576150  0.026580
  0.602350  0.024710
  0.628350  0.022840
  0.654050  0.021000
  0.679380  0.019210
  0.704270  0.017490
  0.728600  0.015850
  0.752300  0.014290
  0.775280  0.012810
  0.797490  0.011410
  0.818840  0.010090
  0.839270  0.008850
  0.858720  0.007690
  0.877130  0.006620
  0.894450  0.005630
  0.910600  0.004730
  0.925560  0.003910
  0.939250  0.003180
  0.951650  0.002530
  0.962700  0.001960
  0.972380  0.001470
  0.980630  0.001040
  0.987450  0.000660
  0.992840  0.000340
  0.996780  0.000120
  0.999190  0.000020
  1.000000  0.000000

  0.000250  0.001410
  0.000200 -0.001260
  0.001770 -0.003760
  0.004810 -0.006490
  0.009070 -0.009320
  0.014510 -0.012160
  0.021090 -0.014960
  0.028770 -0.017630
  0.037610 -0.020120
  0.047650 -0.022440
  0.058820 -0.024620
  0.071090 -0.026600
  0.084470 -0.028360
  0.098960 -0.029930
  0.114510 -0.031300
  0.131070 -0.032470
  0.148620 -0.033430
  0.167160 -0.034170
  0.186620 -0.034740
  0.206940 -0.035110
  0.228090 -0.035300
  0.250020 -0.035300
  0.272670 -0.035150
  0.295960 -0.034830
  0.319860 -0.034360
  0.344310 -0.033740
  0.369230 -0.032990
  0.394550 -0.032110
  0.420210 -0.031120
  0.446140 -0.030020
  0.472270 -0.028830
  0.498510 -0.027540
  0.524810 -0.026150
  0.551130 -0.024700
  0.577380 -0.023200
  0.603490 -0.021680
  0.629360 -0.020150
  0.654940 -0.018620
  0.680130 -0.017120
  0.704850 -0.015640
  0.729040 -0.014200
  0.752610 -0.012810
  0.775490 -0.011470
  0.797610 -0.010200
  0.818900 -0.008990
  0.839290 -0.007860
  0.858710 -0.006810
  0.877100 -0.005830
  0.894410 -0.004940
  0.910570 -0.004130
  0.925520 -0.003400
  0.939220 -0.002760
  0.951630 -0.002190
  0.962690 -0.001700
  0.972370 -0.001270
  0.980620 -0.000900
  0.987450 -0.000570
  0.992840 -0.000290
  0.996770 -0.000100
  0.999190 -0.000010
  1.000000  0.000000
