FX 83-W-160
       49.       49.

  0.000000  0.000000
  0.001070  0.006960
  0.004280  0.013860
  0.009610  0.021120
  0.017040  0.028400
  0.026530  0.035750
  0.038060  0.042910
  0.051560  0.049960
  0.066990  0.056670
  0.084270  0.063120
  0.103320  0.069180
  0.124080  0.074940
  0.146450  0.080360
  0.170330  0.085460
  0.195620  0.090200
  0.222210  0.094530
  0.250000  0.098450
  0.278860  0.101840
  0.308660  0.104790
  0.339280  0.107110
  0.370590  0.108940
  0.402450  0.110070
  0.434740  0.110620
  0.467300  0.110350
  0.500000  0.109450
  0.532700  0.107560
  0.565260  0.104960
  0.597550  0.101480
  0.629410  0.097260
  0.660720  0.092320
  0.691340  0.086890
  0.721140  0.080930
  0.750000  0.074650
  0.777790  0.068140
  0.804380  0.061500
  0.829670  0.054850
  0.853550  0.048280
  0.875920  0.041870
  0.896680  0.035690
  0.915730  0.029850
  0.933010  0.024340
  0.948440  0.019270
  0.961940  0.014700
  0.973470  0.010650
  0.982960  0.007150
  0.990390  0.004350
  0.995720  0.002280
  0.998930  0.001040
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.005970
  0.004280 -0.011870
  0.009610 -0.017670
  0.017040 -0.023100
  0.026530 -0.028270
  0.038060 -0.032990
  0.051560 -0.037360
  0.066990 -0.041150
  0.084270 -0.044520
  0.103320 -0.047370
  0.124080 -0.049780
  0.146450 -0.051770
  0.170330 -0.053360
  0.195620 -0.054560
  0.222210 -0.055280
  0.250000 -0.055590
  0.278860 -0.055340
  0.308660 -0.054620
  0.339280 -0.053300
  0.370590 -0.051560
  0.402450 -0.049130
  0.434740 -0.046160
  0.467300 -0.042460
  0.500000 -0.038320
  0.532700 -0.033450
  0.565260 -0.028650
  0.597550 -0.023930
  0.629410 -0.019450
  0.660720 -0.015250
  0.691340 -0.011480
  0.721140 -0.008040
  0.750000 -0.005050
  0.777790 -0.002470
  0.804380 -0.000330
  0.829670  0.001380
  0.853550  0.002670
  0.875920  0.003550
  0.896680  0.004080
  0.915730  0.004200
  0.933010  0.004040
  0.948440  0.003640
  0.961940  0.003030
  0.973470  0.002300
  0.982960  0.001560
  0.990390  0.000850
  0.995720  0.000230
  0.998930 -0.000330
  1.000000  0.000000
