FX 84-W-218
       49.       49.

  0.000000  0.000000
  0.001070  0.009160
  0.004280  0.018590
  0.009610  0.028260
  0.017040  0.038120
  0.026530  0.048070
  0.038060  0.057990
  0.051560  0.067770
  0.066990  0.077330
  0.084270  0.086580
  0.103320  0.095410
  0.124080  0.103690
  0.146450  0.111330
  0.170330  0.118250
  0.195620  0.124390
  0.222210  0.129700
  0.250000  0.134090
  0.278860  0.137490
  0.308660  0.139830
  0.339280  0.141070
  0.370590  0.141210
  0.402450  0.140240
  0.434740  0.138150
  0.467300  0.134990
  0.500000  0.130780
  0.532700  0.125590
  0.565260  0.119510
  0.597550  0.112640
  0.629410  0.105090
  0.660720  0.097010
  0.691340  0.088530
  0.721140  0.079810
  0.750000  0.071010
  0.777790  0.062290
  0.804380  0.053800
  0.829670  0.045680
  0.853550  0.038060
  0.875920  0.031040
  0.896680  0.024710
  0.915730  0.019130
  0.933010  0.014320
  0.948440  0.010290
  0.961940  0.007030
  0.973470  0.004490
  0.982960  0.002610
  0.990390  0.001320
  0.995720  0.000510
  0.998930  0.000120
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.008870
  0.004280 -0.017370
  0.009610 -0.025420
  0.017040 -0.032930
  0.026530 -0.039900
  0.038060 -0.046300
  0.051560 -0.052140
  0.066990 -0.057410
  0.084270 -0.062100
  0.103320 -0.066220
  0.124080 -0.069770
  0.146450 -0.072750
  0.170330 -0.075160
  0.195620 -0.077010
  0.222210 -0.078330
  0.250000 -0.079130
  0.278860 -0.079450
  0.308660 -0.079260
  0.339280 -0.078580
  0.370590 -0.077410
  0.402450 -0.075750
  0.434740 -0.073610
  0.467300 -0.071010
  0.500000 -0.067960
  0.532700 -0.064500
  0.565260 -0.060650
  0.597550 -0.056450
  0.629410 -0.051950
  0.660720 -0.047230
  0.691340 -0.042360
  0.721140 -0.037410
  0.750000 -0.032490
  0.777790 -0.027670
  0.804380 -0.023060
  0.829670 -0.018740
  0.853550 -0.014780
  0.875920 -0.011250
  0.896680 -0.008180
  0.915730 -0.005620
  0.933010 -0.003570
  0.948440 -0.002020
  0.961940 -0.000920
  0.973470 -0.000230
  0.982960  0.000120
  0.990390  0.000210
  0.995720  0.000150
  0.998930  0.000060
  1.000000  0.000000
