AH 88-K-136/16
       57.       64.

  0.000880  0.002170
  0.001280  0.003840
  0.002180  0.005910
  0.003770  0.008380
  0.006190  0.011220
  0.009570  0.014430
  0.013950  0.017970
  0.019370  0.021830
  0.025890  0.026000
  0.033570  0.030440
  0.042510  0.035150
  0.052850  0.040100
  0.064730  0.045260
  0.078330  0.050580
  0.093790  0.056020
  0.111280  0.061520
  0.130950  0.067000
  0.152940  0.072370
  0.177360  0.077550
  0.204290  0.082420
  0.233770  0.086870
  0.265770  0.090770
  0.300210  0.094000
  0.336800  0.096440
  0.375050  0.097980
  0.414280  0.098570
  0.453770  0.098180
  0.492780  0.096810
  0.530600  0.094520
  0.566560  0.091360
  0.600120  0.087400
  0.630960  0.082780
  0.659040  0.077620
  0.684500  0.072080
  0.707580  0.066300
  0.728490  0.060390
  0.747470  0.054450
  0.764730  0.048560
  0.780540  0.042770
  0.795380  0.037140
  0.810020  0.031810
  0.825130  0.026870
  0.842800  0.020300
  0.859310  0.018840
  0.879060  0.016070
  0.898880  0.013860
  0.917740  0.011970
  0.934960  0.010230
  0.950170  0.008560
  0.963170  0.006920
  0.973970  0.005340
  0.982690  0.003880
  0.989370  0.002570
  0.994210  0.001480
  0.997480  0.000670
  0.999410  0.000170
  1.000580 -0.000100

  0.000880  0.002170
  0.000800  0.000920
  0.000840  0.000090
  0.000900 -0.000330
  0.000920 -0.000420
  0.000980 -0.000740
  0.001140 -0.001360
  0.001490 -0.002290
  0.002140 -0.003530
  0.003280 -0.005050
  0.005110 -0.006840
  0.007910 -0.008880
  0.012000 -0.011110
  0.017740 -0.013480
  0.025530 -0.015910
  0.035750 -0.018300
  0.048600 -0.020540
  0.064040 -0.022580
  0.081880 -0.024390
  0.101820 -0.025980
  0.123510 -0.027380
  0.146570 -0.028610
  0.170690 -0.029730
  0.195680 -0.030780
  0.221440 -0.031780
  0.247930 -0.032740
  0.275090 -0.033650
  0.302880 -0.034490
  0.331230 -0.035250
  0.360070 -0.035910
  0.389320 -0.036460
  0.418900 -0.036880
  0.448720 -0.037180
  0.478670 -0.037330
  0.508660 -0.037350
  0.538590 -0.037220
  0.568360 -0.036940
  0.597870 -0.036520
  0.627020 -0.035960
  0.655690 -0.035250
  0.683790 -0.034400
  0.711200 -0.033410
  0.737820 -0.032270
  0.763510 -0.030960
  0.788060 -0.029450
  0.811260 -0.027740
  0.832910 -0.025790
  0.852870 -0.023640
  0.871090 -0.021300
  0.887620 -0.018860
  0.902600 -0.016380
  0.916240 -0.013940
  0.928760 -0.011630
  0.940320 -0.009490
  0.950990 -0.007560
  0.960800 -0.005860
  0.969770 -0.004410
  0.977980 -0.003250
  0.985340 -0.002370
  0.991420 -0.001670
  0.995810 -0.001050
  0.998560 -0.000540
  1.000080 -0.000210
  1.000580 -0.000100
