FX 66-H-80
       49.       49.

  0.000000  0.000000
  0.001070  0.003260
  0.004280  0.007050
  0.009610  0.011220
  0.017040  0.015810
  0.026530  0.020800
  0.038060  0.026000
  0.051560  0.031300
  0.066990  0.036580
  0.084270  0.041740
  0.103320  0.046690
  0.124080  0.051300
  0.146450  0.055460
  0.170330  0.059020
  0.195620  0.061790
  0.222210  0.063650
  0.250000  0.064550
  0.278860  0.064540
  0.308660  0.063620
  0.339280  0.061770
  0.370590  0.059100
  0.402450  0.055810
  0.434740  0.052150
  0.467300  0.048300
  0.500000  0.044350
  0.532700  0.040330
  0.565260  0.036300
  0.597550  0.032350
  0.629410  0.028540
  0.660720  0.024910
  0.691340  0.021470
  0.721140  0.018230
  0.750000  0.015260
  0.777790  0.012580
  0.804380  0.010230
  0.829670  0.008210
  0.853550  0.006510
  0.875920  0.005100
  0.896680  0.003950
  0.915730  0.003000
  0.933010  0.002260
  0.948440  0.001670
  0.961940  0.001210
  0.973470  0.000820
  0.982960  0.000480
  0.990390  0.000200
  0.995720  0.000020
  0.998930  0.000010
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.002710
  0.004280 -0.004840
  0.009610 -0.006590
  0.017040 -0.008110
  0.026530 -0.009360
  0.038060 -0.010420
  0.051560 -0.011300
  0.066990 -0.012050
  0.084270 -0.012660
  0.103320 -0.013180
  0.124080 -0.013600
  0.146450 -0.013970
  0.170330 -0.014310
  0.195620 -0.014590
  0.222210 -0.014860
  0.250000 -0.015150
  0.278860 -0.015480
  0.308660 -0.015830
  0.339280 -0.016190
  0.370590 -0.016550
  0.402450 -0.016880
  0.434740 -0.017180
  0.467300 -0.017420
  0.500000 -0.017580
  0.532700 -0.017650
  0.565260 -0.017620
  0.597550 -0.017480
  0.629410 -0.017240
  0.660720 -0.016900
  0.691340 -0.016460
  0.721140 -0.015920
  0.750000 -0.015270
  0.777790 -0.014510
  0.804380 -0.013620
  0.829670 -0.012580
  0.853550 -0.011390
  0.875920 -0.010100
  0.896680 -0.008770
  0.915730 -0.007470
  0.933010 -0.006210
  0.948440 -0.005010
  0.961940 -0.003900
  0.973470 -0.002870
  0.982960 -0.001940
  0.990390 -0.001150
  0.995720 -0.000540
  0.998930 -0.000080
  1.000000  0.000000
