S8036 (16%)
       41.       41.

  0.001930  0.008230
  0.006120  0.016490
  0.012560  0.024830
  0.021410  0.033050
  0.032710  0.041150
  0.046380  0.048850
  0.062510  0.056100
  0.081040  0.062960
  0.101840  0.069340
  0.124840  0.075200
  0.149880  0.080530
  0.176810  0.085280
  0.205450  0.089390
  0.235640  0.092800
  0.267220  0.095470
  0.299990  0.097350
  0.333800  0.098380
  0.368480  0.098530
  0.403810  0.097760
  0.439720  0.095980
  0.476110  0.093280
  0.512790  0.089630
  0.549690  0.085090
  0.586680  0.079860
  0.623570  0.074020
  0.660220  0.067710
  0.696410  0.061190
  0.731830  0.054630
  0.766180  0.048160
  0.799160  0.041890
  0.830470  0.035900
  0.859840  0.030270
  0.886970  0.025050
  0.911630  0.020270
  0.933540  0.015940
  0.952470  0.012040
  0.968270  0.008430
  0.981050  0.005010
  0.990950  0.002170
  0.997590  0.000460
  1.000000  0.000000

  0.001930  0.008230
  0.000010  0.000540
  0.000980 -0.005880
  0.005480 -0.011530
  0.013380 -0.017200
  0.024330 -0.022730
  0.038110 -0.028040
  0.054680 -0.033040
  0.073950 -0.037730
  0.095760 -0.042080
  0.119990 -0.046050
  0.146480 -0.049640
  0.175040 -0.052830
  0.205490 -0.055580
  0.237600 -0.057860
  0.271200 -0.059620
  0.306090 -0.060840
  0.342040 -0.061460
  0.378870 -0.061470
  0.416380 -0.060870
  0.454350 -0.059590
  0.492650 -0.057650
  0.530990 -0.055020
  0.569370 -0.051650
  0.607780 -0.047720
  0.645940 -0.043480
  0.683590 -0.039070
  0.720430 -0.034640
  0.756160 -0.030280
  0.790480 -0.026090
  0.823090 -0.022150
  0.853700 -0.018520
  0.882020 -0.015230
  0.907750 -0.012300
  0.930640 -0.009700
  0.950440 -0.007390
  0.966980 -0.005190
  0.980370 -0.003020
  0.990700 -0.001200
  0.997540 -0.000200
  1.000000  0.000000
