AH 94-W-301
       49.       49.

  0.000000  0.000000
  0.001070  0.008860
  0.004280  0.017740
  0.009610  0.027010
  0.017040  0.036740
  0.026530  0.046780
  0.038060  0.057000
  0.051560  0.067230
  0.066990  0.077340
  0.084270  0.087210
  0.103320  0.096740
  0.124080  0.105790
  0.146450  0.114220
  0.170330  0.121930
  0.195620  0.128770
  0.222210  0.134580
  0.250000  0.139200
  0.278860  0.142510
  0.308660  0.144380
  0.339280  0.144760
  0.370590  0.143710
  0.402450  0.141270
  0.434740  0.137560
  0.467300  0.132730
  0.500000  0.127000
  0.532700  0.120580
  0.565260  0.113660
  0.597550  0.106410
  0.629410  0.098970
  0.660720  0.091450
  0.691340  0.083960
  0.721140  0.076600
  0.750000  0.069450
  0.777790  0.062610
  0.804380  0.056160
  0.829670  0.050110
  0.853550  0.044480
  0.875920  0.039270
  0.896680  0.034480
  0.915730  0.030070
  0.933010  0.026040
  0.948440  0.022310
  0.961940  0.018860
  0.973470  0.015680
  0.982960  0.012720
  0.990390  0.009930
  0.995720  0.007610
  0.998930  0.005990
  1.000000  0.005460

  0.000000  0.000000
  0.001070 -0.010930
  0.004280 -0.026020
  0.009610 -0.041600
  0.017040 -0.056010
  0.026530 -0.069390
  0.038060 -0.081880
  0.051560 -0.093600
  0.066990 -0.104540
  0.084270 -0.114710
  0.103320 -0.124040
  0.124080 -0.132430
  0.146450 -0.139780
  0.170330 -0.145980
  0.195620 -0.150930
  0.222210 -0.154530
  0.250000 -0.156730
  0.278860 -0.157430
  0.308660 -0.156620
  0.339280 -0.154280
  0.370590 -0.150450
  0.402450 -0.145190
  0.434740 -0.138650
  0.467300 -0.130970
  0.500000 -0.122420
  0.532700 -0.113210
  0.565260 -0.103610
  0.597550 -0.093830
  0.629410 -0.084100
  0.660720 -0.074600
  0.691340 -0.065480
  0.721140 -0.056860
  0.750000 -0.048810
  0.777790 -0.041420
  0.804380 -0.034750
  0.829670 -0.028870
  0.853550 -0.023830
  0.875920 -0.019650
  0.896680 -0.016300
  0.915730 -0.013760
  0.933010 -0.012000
  0.948440 -0.010940
  0.961940 -0.010410
  0.973470 -0.010220
  0.982960 -0.010220
  0.990390 -0.010240
  0.995720 -0.010320
  0.998930 -0.010370
  1.000000 -0.010380
