E195  (11.82%)
       31.       31.

  0.003930  0.008620
  0.012280  0.017210
  0.025000  0.026290
  0.041980  0.035510
  0.063100  0.044600
  0.088170  0.053340
  0.116970  0.061540
  0.149220  0.069030
  0.184600  0.075640
  0.222760  0.081230
  0.263300  0.085630
  0.305800  0.088650
  0.349940  0.090040
  0.395500  0.089680
  0.442220  0.087560
  0.489850  0.083740
  0.538130  0.078350
  0.586860  0.071700
  0.635590  0.064280
  0.683680  0.056480
  0.730460  0.048590
  0.775290  0.040830
  0.817530  0.033410
  0.856580  0.026470
  0.891850  0.020140
  0.922800  0.014480
  0.949040  0.009480
  0.970370  0.005270
  0.986400  0.002200
  0.996520  0.000500
  1.000000  0.000000

  0.003930  0.008620
  0.000080  0.001140
  0.001960 -0.004960
  0.009860 -0.010410
  0.022950 -0.015510
  0.041120 -0.019960
  0.064220 -0.023680
  0.092060 -0.026610
  0.124410 -0.028730
  0.160980 -0.030060
  0.201400 -0.030640
  0.245260 -0.030510
  0.292090 -0.029730
  0.341350 -0.028310
  0.392600 -0.026220
  0.445450 -0.023600
  0.499350 -0.020700
  0.553620 -0.017740
  0.607540 -0.014840
  0.660430 -0.012100
  0.711580 -0.009590
  0.760340 -0.007370
  0.806050 -0.005480
  0.848090 -0.003910
  0.885900 -0.002660
  0.918950 -0.001670
  0.946850 -0.000820
  0.969350 -0.000170
  0.986070  0.000140
  0.996460  0.000090
  1.000000  0.000000
