NACA 65-209
       26.       26.

  0.000000  0.000000
  0.004410  0.007480
  0.006840  0.009120
  0.011770  0.011620
  0.024170  0.016050
  0.049080  0.022750
  0.074050  0.028050
  0.099040  0.032510
  0.149090  0.039710
  0.199180  0.045220
  0.249290  0.049440
  0.299420  0.052540
  0.349560  0.054610
  0.399710  0.055670
  0.449860  0.055640
  0.500000  0.054390
  0.550130  0.051810
  0.600240  0.048140
  0.650330  0.043580
  0.700390  0.038280
  0.750410  0.032370
  0.800400  0.026010
  0.850350  0.019330
  0.900260  0.012550
  0.950130  0.005960
  1.000000  0.000000

  0.000000  0.000000
  0.005590 -0.006480
  0.008160 -0.007720
  0.013230 -0.009480
  0.025830 -0.012330
  0.050920 -0.016430
  0.075950 -0.019570
  0.100960 -0.022170
  0.150910 -0.026250
  0.200820 -0.029300
  0.250710 -0.031540
  0.300580 -0.033100
  0.350440 -0.034010
  0.400290 -0.034250
  0.450140 -0.033740
  0.500000 -0.032330
  0.549870 -0.029910
  0.599760 -0.026720
  0.649670 -0.022980
  0.699610 -0.018840
  0.749590 -0.014470
  0.799600 -0.010090
  0.849650 -0.005870
  0.899740 -0.002210
  0.949870  0.000360
  1.000000  0.000000
