S8055 (12%)
       41.       41.

  0.002150  0.007250
  0.006490  0.014190
  0.013060  0.021190
  0.022080  0.028030
  0.033640  0.034790
  0.047570  0.041300
  0.063880  0.047450
  0.082460  0.053200
  0.103310  0.058400
  0.126430  0.063030
  0.151660  0.067150
  0.178880  0.070720
  0.207960  0.073750
  0.238700  0.076220
  0.270930  0.078120
  0.304460  0.079450
  0.339070  0.080160
  0.374590  0.080260
  0.410790  0.079740
  0.447490  0.078560
  0.484510  0.076770
  0.521630  0.074370
  0.558650  0.071370
  0.595350  0.067810
  0.631530  0.063680
  0.667030  0.058990
  0.701580  0.053720
  0.735280  0.047810
  0.768230  0.041550
  0.800140  0.035290
  0.830700  0.029240
  0.859630  0.023580
  0.886610  0.018410
  0.911340  0.013830
  0.933540  0.009910
  0.952910  0.006660
  0.969230  0.004070
  0.982310  0.002110
  0.991970  0.000810
  0.997960  0.000160
  1.000000  0.000000

  0.002150  0.007250
  0.000030  0.000860
  0.000750 -0.004290
  0.004990 -0.008590
  0.012600 -0.012870
  0.023220 -0.017010
  0.036740 -0.020910
  0.053040 -0.024510
  0.072040 -0.027770
  0.093630 -0.030660
  0.117700 -0.033160
  0.144120 -0.035270
  0.172730 -0.036970
  0.203390 -0.038290
  0.235900 -0.039210
  0.270070 -0.039770
  0.305700 -0.039960
  0.342560 -0.039820
  0.380420 -0.039360
  0.419050 -0.038580
  0.458180 -0.037530
  0.497550 -0.036190
  0.536920 -0.034580
  0.575990 -0.032670
  0.614580 -0.030390
  0.652530 -0.027770
  0.689670 -0.024810
  0.725880 -0.021620
  0.760980 -0.018320
  0.794750 -0.015080
  0.826920 -0.012070
  0.857150 -0.009390
  0.885130 -0.007080
  0.910580 -0.005160
  0.933220 -0.003620
  0.952810 -0.002420
  0.969170 -0.001440
  0.982240 -0.000650
  0.991930 -0.000140
  0.997950  0.000020
  1.000000  0.000000
