NACA 66(3)-218
       26.       26.

  0.000000  0.000000
  0.003890  0.013680
  0.006280  0.016360
  0.011150  0.020540
  0.023460  0.028280
  0.048270  0.040020
  0.073200  0.049330
  0.098180  0.057240
  0.148250  0.070040
  0.198410  0.079820
  0.248630  0.087420
  0.298870  0.093170
  0.349140  0.097310
  0.399420  0.099890
  0.449710  0.100930
  0.500000  0.100450
  0.550280  0.098280
  0.600540  0.093940
  0.650750  0.086100
  0.700890  0.075680
  0.750950  0.063450
  0.800930  0.050010
  0.850810  0.036060
  0.900600  0.022300
  0.950300  0.009610
  1.000000  0.000000

  0.000000  0.000000
  0.006110 -0.012680
  0.008720 -0.014960
  0.013850 -0.018400
  0.026540 -0.024560
  0.051730 -0.033700
  0.076800 -0.040850
  0.101820 -0.046900
  0.151750 -0.056580
  0.201590 -0.063900
  0.251370 -0.069520
  0.301130 -0.073730
  0.350860 -0.076710
  0.400580 -0.078470
  0.450290 -0.079030
  0.500000 -0.078390
  0.549720 -0.076380
  0.599460 -0.072520
  0.649250 -0.065500
  0.699110 -0.056240
  0.749050 -0.045550
  0.799070 -0.034090
  0.849190 -0.022600
  0.899400 -0.011960
  0.949700 -0.003290
  1.000000  0.000000
