SD7090 (10%)
       31.       31.

  0.001960  0.006370
  0.008270  0.014580
  0.018910  0.022980
  0.033840  0.031250
  0.052970  0.039070
  0.076240  0.046210
  0.103520  0.052490
  0.134670  0.057800
  0.169450  0.062060
  0.207590  0.065220
  0.248780  0.067240
  0.292690  0.068140
  0.338900  0.067950
  0.386990  0.066740
  0.436490  0.064570
  0.486920  0.061530
  0.537770  0.057730
  0.588500  0.053290
  0.638600  0.048340
  0.687540  0.043040
  0.734790  0.037600
  0.779720  0.032180
  0.821760  0.026910
  0.860360  0.021880
  0.895000  0.017180
  0.925220  0.012840
  0.950620  0.008820
  0.971130  0.005120
  0.986640  0.002190
  0.996550  0.000500
  1.000000  0.000000

  0.001960  0.006370
  0.000050 -0.000970
  0.003450 -0.007340
  0.012380 -0.013180
  0.026240 -0.018340
  0.045140 -0.022620
  0.069030 -0.026050
  0.097710 -0.028730
  0.130870 -0.030670
  0.168170 -0.031880
  0.209260 -0.032400
  0.253710 -0.032290
  0.301060 -0.031610
  0.350770 -0.030460
  0.402270 -0.028890
  0.454990 -0.026960
  0.508320 -0.024720
  0.561660 -0.022210
  0.614420 -0.019480
  0.666050 -0.016580
  0.716050 -0.013630
  0.763810 -0.010830
  0.808690 -0.008290
  0.850070 -0.006090
  0.887350 -0.004260
  0.920010 -0.002790
  0.947570 -0.001600
  0.969740 -0.000660
  0.986220 -0.000090
  0.996500  0.000040
  1.000010  0.000000
